Time,II,PLETH,ABP
09:08:51.000,,,
09:08:51.008,,,
09:08:51.016,,,
09:08:51.024,,,
09:08:51.032,,,
09:08:51.040,,,
09:08:51.048,,,
09:08:51.056,,,
09:08:51.064,,,
09:08:51.072,,,
09:08:51.080,,,
09:08:51.088,,,
09:08:51.096,,,
09:08:51.104,,,
09:08:51.112,,,
09:08:51.120,,,
09:08:51.128,,,
09:08:51.136,,,
09:08:51.144,,,
09:08:51.152,,,
09:08:51.160,,,
09:08:51.168,,,
09:08:51.176,,,
09:08:51.184,,,
09:08:51.192,,,
09:08:51.200,,,
09:08:51.208,,,
09:08:51.216,,,
09:08:51.224,,,
09:08:51.232,,,
09:08:51.240,,,
09:08:51.248,,,
09:08:51.256,,,
09:08:51.264,,,
09:08:51.272,,,
09:08:51.280,,,
09:08:51.288,,,
09:08:51.296,,,
09:08:51.304,,,
09:08:51.312,,,
09:08:51.320,,,
09:08:51.328,,,
09:08:51.336,,,
09:08:51.344,,,
09:08:51.352,,,
09:08:51.360,,,
09:08:51.368,,,
09:08:51.376,,,
09:08:51.384,,,
09:08:51.392,,,
09:08:51.400,,,
09:08:51.408,,,
09:08:51.416,,,
09:08:51.424,,,
09:08:51.432,,,
09:08:51.440,,,
09:08:51.448,,,
09:08:51.456,,,
09:08:51.464,,,
09:08:51.472,,,
09:08:51.480,,,
09:08:51.488,,,
09:08:51.496,,,
09:08:51.504,,,
09:08:51.512,,,
09:08:51.520,,,
09:08:51.528,,,
09:08:51.536,,,
09:08:51.544,,,
09:08:51.552,,,
09:08:51.560,,,
09:08:51.568,,,
09:08:51.576,,,
09:08:51.584,,,
09:08:51.592,,,
09:08:51.600,,,
09:08:51.608,,,
09:08:51.616,,,
09:08:51.624,,,
09:08:51.632,,,
09:08:51.640,,,
09:08:51.648,,,
09:08:51.656,,,
09:08:51.664,,,
09:08:51.672,,,
09:08:51.680,,,
09:08:51.688,,,
09:08:51.696,,,
09:08:51.704,,,
09:08:51.712,,,
09:08:51.720,,,
09:08:51.728,,,
09:08:51.736,,,
09:08:51.744,,,
09:08:51.752,,,
09:08:51.760,,,
09:08:51.768,,,
09:08:51.776,,,
09:08:51.784,,,
09:08:51.792,,,
09:08:51.800,,,
09:08:51.808,,,
09:08:51.816,,,
09:08:51.824,,,
09:08:51.832,,,
09:08:51.840,,,
09:08:51.848,,,
09:08:51.856,,,
09:08:51.864,,,
09:08:51.872,,,
09:08:51.880,,,
09:08:51.888,,,
09:08:51.896,,,
09:08:51.904,,,
09:08:51.912,,,
09:08:51.920,,,
09:08:51.928,,,
09:08:51.936,,,
09:08:51.944,,,
09:08:51.952,,,
09:08:51.960,,,
09:08:51.968,,,
09:08:51.976,,,
09:08:51.984,,,
09:08:51.992,,,
09:08:52.000,,,
09:08:52.008,,,
09:08:52.016,,,
09:08:52.024,,,
09:08:52.032,,,
09:08:52.040,,,
09:08:52.048,,,
09:08:52.056,,,
09:08:52.064,,,
09:08:52.072,,,
09:08:52.080,,,
09:08:52.088,,,
09:08:52.096,,,
09:08:52.104,,,
09:08:52.112,,,
09:08:52.120,,,
09:08:52.128,,,
09:08:52.136,,,
09:08:52.144,,,
09:08:52.152,,,
09:08:52.160,,,
09:08:52.168,,,
09:08:52.176,,,
09:08:52.184,,,
09:08:52.192,,,
09:08:52.200,,,
09:08:52.208,,,
09:08:52.216,,,
09:08:52.224,,,
09:08:52.232,,,
09:08:52.240,,,
09:08:52.248,,,
09:08:52.256,,,
09:08:52.264,,,
09:08:52.272,,,
09:08:52.280,,,
09:08:52.288,,,
09:08:52.296,,,
09:08:52.304,,,
09:08:52.312,,,
09:08:52.320,,,
09:08:52.328,,,
09:08:52.336,,,
09:08:52.344,,,
09:08:52.352,,,
09:08:52.360,,,
09:08:52.368,,,
09:08:52.376,,,
09:08:52.384,,,
09:08:52.392,,,
09:08:52.400,,,
09:08:52.408,,,
09:08:52.416,,,
09:08:52.424,,,
09:08:52.432,,,
09:08:52.440,,,
09:08:52.448,,,
09:08:52.456,,,
09:08:52.464,,,
09:08:52.472,,,
09:08:52.480,,,
09:08:52.488,,,
09:08:52.496,,,
09:08:52.504,,,
09:08:52.512,,,
09:08:52.520,,,
09:08:52.528,,,
09:08:52.536,,,
09:08:52.544,,,
09:08:52.552,,,
09:08:52.560,,,
09:08:52.568,,,
09:08:52.576,,,
09:08:52.584,,,
09:08:52.592,,,
09:08:52.600,,,
09:08:52.608,,,
09:08:52.616,,,
09:08:52.624,,,
09:08:52.632,,,
09:08:52.640,,,
09:08:52.648,,,
09:08:52.656,,,
09:08:52.664,,,
09:08:52.672,,,
09:08:52.680,,,
09:08:52.688,,,
09:08:52.696,,,
09:08:52.704,,,
09:08:52.712,,,
09:08:52.720,,,
09:08:52.728,,,
09:08:52.736,,,
09:08:52.744,,,
09:08:52.752,,,
09:08:52.760,,,
09:08:52.768,,,
09:08:52.776,,,
09:08:52.784,,,
09:08:52.792,,,
09:08:52.800,,,
09:08:52.808,,,
09:08:52.816,,,
09:08:52.824,,,
09:08:52.832,,,
09:08:52.840,,,
09:08:52.848,,,
09:08:52.856,,,
09:08:52.864,,,
09:08:52.872,,,
09:08:52.880,,,
09:08:52.888,,,
09:08:52.896,,,
09:08:52.904,,,
09:08:52.912,,,
09:08:52.920,,,
09:08:52.928,,,
09:08:52.936,,,
09:08:52.944,,,
09:08:52.952,,,
09:08:52.960,,,
09:08:52.968,,,
09:08:52.976,,,
09:08:52.984,,,
09:08:52.992,,,
09:08:53.000,,,
09:08:53.008,,,
09:08:53.016,,,
09:08:53.024,,,
09:08:53.032,,,
09:08:53.040,,,
09:08:53.048,,,
09:08:53.056,,,
09:08:53.064,,,
09:08:53.072,,,
09:08:53.080,,,
09:08:53.088,,,
09:08:53.096,,,
09:08:53.104,,,
09:08:53.112,,,
09:08:53.120,,,
09:08:53.128,,,
09:08:53.136,,,
09:08:53.144,,,
09:08:53.152,,,
09:08:53.160,,,
09:08:53.168,,,
09:08:53.176,,,
09:08:53.184,,,
09:08:53.192,,,
09:08:53.200,,,
09:08:53.208,,,
09:08:53.216,,,
09:08:53.224,,,
09:08:53.232,,,
09:08:53.240,,,
09:08:53.248,,,
09:08:53.256,,,
09:08:53.264,,,
09:08:53.272,,,
09:08:53.280,,,
09:08:53.288,,,
09:08:53.296,,,
09:08:53.304,,,
09:08:53.312,,,
09:08:53.320,,,
09:08:53.328,,,
09:08:53.336,,,
09:08:53.344,,,
09:08:53.352,,,
09:08:53.360,,,
09:08:53.368,,,
09:08:53.376,,,
09:08:53.384,,,
09:08:53.392,,,
09:08:53.400,,,
09:08:53.408,,,
09:08:53.416,,,
09:08:53.424,,,
09:08:53.432,,,
09:08:53.440,,,
09:08:53.448,,,
09:08:53.456,,,
09:08:53.464,,,
09:08:53.472,,,
09:08:53.480,,,
09:08:53.488,,,
09:08:53.496,,,
09:08:53.504,,,
09:08:53.512,,,
09:08:53.520,,,
09:08:53.528,,,
09:08:53.536,,,
09:08:53.544,,,
09:08:53.552,,,
09:08:53.560,,,
09:08:53.568,,,
09:08:53.576,,,
09:08:53.584,,,
09:08:53.592,,,
09:08:53.600,,,
09:08:53.608,,,
09:08:53.616,,,
09:08:53.624,,,
09:08:53.632,,,
09:08:53.640,,,
09:08:53.648,,,
09:08:53.656,,,
09:08:53.664,,,
09:08:53.672,,,
09:08:53.680,,,
09:08:53.688,,,
09:08:53.696,,,
09:08:53.704,,,
09:08:53.712,,,
09:08:53.720,,,
09:08:53.728,,,
09:08:53.736,,,
09:08:53.744,,,
09:08:53.752,,,
09:08:53.760,,,
09:08:53.768,,,
09:08:53.776,,,
09:08:53.784,,,
09:08:53.792,,,
09:08:53.800,,,
09:08:53.808,,,
09:08:53.816,,,
09:08:53.824,,,
09:08:53.832,,,
09:08:53.840,,,
09:08:53.848,,,
09:08:53.856,,,
09:08:53.864,,,
09:08:53.872,,,
09:08:53.880,,,
09:08:53.888,,,
09:08:53.896,,,
09:08:53.904,,,
09:08:53.912,,,
09:08:53.920,,,
09:08:53.928,,,
09:08:53.936,,,
09:08:53.944,,,
09:08:53.952,,,
09:08:53.960,,,
09:08:53.968,,,
09:08:53.976,,,
09:08:53.984,,,
09:08:53.992,,,
09:08:54.000,,,
09:08:54.008,,,
09:08:54.016,,,
09:08:54.024,,,
09:08:54.032,,,
09:08:54.040,,,
09:08:54.048,,,
09:08:54.056,,,
09:08:54.064,,,
09:08:54.072,,,
09:08:54.080,,,
09:08:54.088,,,
09:08:54.096,,,
09:08:54.104,,,
09:08:54.112,,,
09:08:54.120,,,
09:08:54.128,,,
09:08:54.136,,,
09:08:54.144,,,
09:08:54.152,,,
09:08:54.160,,,
09:08:54.168,,,
09:08:54.176,,,
09:08:54.184,,,
09:08:54.192,,,
09:08:54.200,,,
09:08:54.208,,,
09:08:54.216,,,
09:08:54.224,,,
09:08:54.232,,,
09:08:54.240,,,
09:08:54.248,,,
09:08:54.256,,,
09:08:54.264,,,
09:08:54.272,,,
09:08:54.280,,,
09:08:54.288,,,
09:08:54.296,,,
09:08:54.304,,,
09:08:54.312,,,
09:08:54.320,,,
09:08:54.328,,,
09:08:54.336,,,
09:08:54.344,,,
09:08:54.352,,,
09:08:54.360,,,
09:08:54.368,,,
09:08:54.376,,,
09:08:54.384,,,
09:08:54.392,,,
09:08:54.400,,,
09:08:54.408,,,
09:08:54.416,,,
09:08:54.424,,,
09:08:54.432,,,
09:08:54.440,,,
09:08:54.448,,,
09:08:54.456,,,
09:08:54.464,,,
09:08:54.472,,,
09:08:54.480,,,
09:08:54.488,,,
09:08:54.496,,,
09:08:54.504,,,
09:08:54.512,,,
09:08:54.520,,,
09:08:54.528,,,
09:08:54.536,,,
09:08:54.544,,,
09:08:54.552,,,
09:08:54.560,,,
09:08:54.568,,,
09:08:54.576,,,
09:08:54.584,,,
09:08:54.592,,,
09:08:54.600,,,
09:08:54.608,,,
09:08:54.616,,,
09:08:54.624,,,
09:08:54.632,,,
09:08:54.640,,,
09:08:54.648,,,
09:08:54.656,,,
09:08:54.664,,,
09:08:54.672,,,
09:08:54.680,,,
09:08:54.688,,,
09:08:54.696,,,
09:08:54.704,,,
09:08:54.712,,,
09:08:54.720,,,
09:08:54.728,,,
09:08:54.736,,,
09:08:54.744,,,
09:08:54.752,,,
09:08:54.760,,,
09:08:54.768,,,
09:08:54.776,,,
09:08:54.784,,,
09:08:54.792,,,
09:08:54.800,,,
09:08:54.808,,,
09:08:54.816,,,
09:08:54.824,,,
09:08:54.832,,,
09:08:54.840,,,
09:08:54.848,,,
09:08:54.856,,,
09:08:54.864,,,
09:08:54.872,,,
09:08:54.880,,,
09:08:54.888,,,
09:08:54.896,,,
09:08:54.904,,,
09:08:54.912,,,
09:08:54.920,,,
09:08:54.928,,,
09:08:54.936,,,
09:08:54.944,,,
09:08:54.952,,,
09:08:54.960,,,
09:08:54.968,,,
09:08:54.976,,,
09:08:54.984,,,
09:08:54.992,,,
09:08:55.000,,,
09:08:55.008,,,
09:08:55.016,,,
09:08:55.024,,,
09:08:55.032,,,
09:08:55.040,,,
09:08:55.048,,,
09:08:55.056,,,
09:08:55.064,,,
09:08:55.072,,,
09:08:55.080,,,
09:08:55.088,,,
09:08:55.096,,,
09:08:55.104,,,
09:08:55.112,,,
09:08:55.120,,,
09:08:55.128,,,
09:08:55.136,,,
09:08:55.144,,,
09:08:55.152,,,
09:08:55.160,,,
09:08:55.168,,,
09:08:55.176,,,
09:08:55.184,,,
09:08:55.192,,,
09:08:55.200,,,
09:08:55.208,,,
09:08:55.216,,,
09:08:55.224,,,
09:08:55.232,,,
09:08:55.240,,,
09:08:55.248,,,
09:08:55.256,,,
09:08:55.264,,,
09:08:55.272,,,
09:08:55.280,,,
09:08:55.288,,,
09:08:55.296,,,
09:08:55.304,,,
09:08:55.312,,,
09:08:55.320,,,
09:08:55.328,,,
09:08:55.336,,,
09:08:55.344,,,
09:08:55.352,,,
09:08:55.360,,,
09:08:55.368,,,
09:08:55.376,,,
09:08:55.384,,,
09:08:55.392,,,
09:08:55.400,,,
09:08:55.408,,,
09:08:55.416,,,
09:08:55.424,,,
09:08:55.432,,,
09:08:55.440,,,
09:08:55.448,,,
09:08:55.456,,,
09:08:55.464,,,
09:08:55.472,,,
09:08:55.480,,,
09:08:55.488,,,
09:08:55.496,,,
09:08:55.504,,,
09:08:55.512,,,
09:08:55.520,,,
09:08:55.528,,,
09:08:55.536,,,
09:08:55.544,,,
09:08:55.552,,,
09:08:55.560,,,
09:08:55.568,,,
09:08:55.576,,,
09:08:55.584,,,
09:08:55.592,,,
09:08:55.600,,,
09:08:55.608,,,
09:08:55.616,,,
09:08:55.624,,,
09:08:55.632,,,
09:08:55.640,,,
09:08:55.648,,,
09:08:55.656,,,
09:08:55.664,,,
09:08:55.672,,,
09:08:55.680,,,
09:08:55.688,,,
09:08:55.696,,,
09:08:55.704,,,
09:08:55.712,,,
09:08:55.720,,,
09:08:55.728,,,
09:08:55.736,,,
09:08:55.744,,,
09:08:55.752,,,
09:08:55.760,,,
09:08:55.768,,,
09:08:55.776,,,
09:08:55.784,,,
09:08:55.792,,,
09:08:55.800,,,
09:08:55.808,,,
09:08:55.816,,,
09:08:55.824,,,
09:08:55.832,,,
09:08:55.840,,,
09:08:55.848,,,
09:08:55.856,,,
09:08:55.864,,,
09:08:55.872,,,
09:08:55.880,,,
09:08:55.888,,,
09:08:55.896,,,
09:08:55.904,,,
09:08:55.912,,,
09:08:55.920,,,
09:08:55.928,,,
09:08:55.936,,,
09:08:55.944,,,
09:08:55.952,,,
09:08:55.960,,,
09:08:55.968,,,
09:08:55.976,,,
09:08:55.984,,,
09:08:55.992,,,
09:08:56.000,,,
09:08:56.008,,,
09:08:56.016,,,
09:08:56.024,,,
09:08:56.032,,,
09:08:56.040,,,
09:08:56.048,,,
09:08:56.056,,,
09:08:56.064,,,
09:08:56.072,,,
09:08:56.080,,,
09:08:56.088,,,
09:08:56.096,,,
09:08:56.104,,,
09:08:56.112,,,
09:08:56.120,,,
09:08:56.128,,,
09:08:56.136,,,
09:08:56.144,,,
09:08:56.152,,,
09:08:56.160,,,
09:08:56.168,,,
09:08:56.176,,,
09:08:56.184,,,
09:08:56.192,,,
09:08:56.200,,,
09:08:56.208,,,
09:08:56.216,,,
09:08:56.224,,,
09:08:56.232,,,
09:08:56.240,,,
09:08:56.248,,,
09:08:56.256,,,
09:08:56.264,,,
09:08:56.272,,,
09:08:56.280,,,
09:08:56.288,,,
09:08:56.296,,,
09:08:56.304,,,
09:08:56.312,,,
09:08:56.320,,,
09:08:56.328,,,
09:08:56.336,,,
09:08:56.344,,,
09:08:56.352,,,
09:08:56.360,,,
09:08:56.368,,,
09:08:56.376,,,
09:08:56.384,,,
09:08:56.392,,,
09:08:56.400,,,
09:08:56.408,,,
09:08:56.416,,,
09:08:56.424,,,
09:08:56.432,,,
09:08:56.440,,,
09:08:56.448,,,
09:08:56.456,,,
09:08:56.464,,,
09:08:56.472,,,
09:08:56.480,,,
09:08:56.488,,,
09:08:56.496,,,
09:08:56.504,,,
09:08:56.512,,,
09:08:56.520,,,
09:08:56.528,,,
09:08:56.536,,,
09:08:56.544,,,
09:08:56.552,,,
09:08:56.560,,,
09:08:56.568,,,
09:08:56.576,,,
09:08:56.584,,,
09:08:56.592,,,
09:08:56.600,,,
09:08:56.608,,,
09:08:56.616,,,
09:08:56.624,,,
09:08:56.632,,,
09:08:56.640,,,
09:08:56.648,,,
09:08:56.656,,,
09:08:56.664,,,
09:08:56.672,,,
09:08:56.680,,,
09:08:56.688,,,
09:08:56.696,,,
09:08:56.704,,,
09:08:56.712,,,
09:08:56.720,,,
09:08:56.728,,,
09:08:56.736,,,
09:08:56.744,,,
09:08:56.752,,,
09:08:56.760,,,
09:08:56.768,,,
09:08:56.776,,,
09:08:56.784,,,
09:08:56.792,,,
09:08:56.800,,,
09:08:56.808,,,
09:08:56.816,,,
09:08:56.824,,,
09:08:56.832,,,
09:08:56.840,,,
09:08:56.848,,,
09:08:56.856,,,
09:08:56.864,,,
09:08:56.872,,,
09:08:56.880,,,
09:08:56.888,,,
09:08:56.896,,,
09:08:56.904,,,
09:08:56.912,,,
09:08:56.920,,,
09:08:56.928,,,
09:08:56.936,,,
09:08:56.944,,,
09:08:56.952,,,
09:08:56.960,,,
09:08:56.968,,,
09:08:56.976,,,
09:08:56.984,,,
09:08:56.992,,,
09:08:57.000,,,
09:08:57.008,,,
09:08:57.016,,,
09:08:57.024,,,
09:08:57.032,,,
09:08:57.040,,,
09:08:57.048,,,
09:08:57.056,,,
09:08:57.064,,,
09:08:57.072,,,
09:08:57.080,,,
09:08:57.088,,,
09:08:57.096,,,
09:08:57.104,,,
09:08:57.112,,,
09:08:57.120,,,
09:08:57.128,,,
09:08:57.136,,,
09:08:57.144,,,
09:08:57.152,,,
09:08:57.160,,,
09:08:57.168,,,
09:08:57.176,,,
09:08:57.184,,,
09:08:57.192,,,
09:08:57.200,,,
09:08:57.208,,,
09:08:57.216,,,
09:08:57.224,,,
09:08:57.232,,,
09:08:57.240,,,
09:08:57.248,,,
09:08:57.256,,,
09:08:57.264,,,
09:08:57.272,,,
09:08:57.280,,,
09:08:57.288,,,
09:08:57.296,,,
09:08:57.304,,,
09:08:57.312,,,
09:08:57.320,,,
09:08:57.328,,,
09:08:57.336,,,
09:08:57.344,,,
09:08:57.352,,,
09:08:57.360,,,
09:08:57.368,,,
09:08:57.376,,,
09:08:57.384,,,
09:08:57.392,,,
09:08:57.400,,,
09:08:57.408,,,
09:08:57.416,,,
09:08:57.424,,,
09:08:57.432,,,
09:08:57.440,,,
09:08:57.448,,,
09:08:57.456,,,
09:08:57.464,,,
09:08:57.472,,,
09:08:57.480,,,
09:08:57.488,,,
09:08:57.496,,,
09:08:57.504,,,
09:08:57.512,,,
09:08:57.520,,,
09:08:57.528,,,
09:08:57.536,,,
09:08:57.544,,,
09:08:57.552,,,
09:08:57.560,,,
09:08:57.568,,,
09:08:57.576,,,
09:08:57.584,,,
09:08:57.592,,,
09:08:57.600,,,
09:08:57.608,,,
