"'Time','II','PLETH','ABP'"
"'hh:mm:ss.mmm','mV','NU','mmHg'"
"'[21:57:47.000]',0.614,0.475,54.688"
"'[21:57:47.008]',0.654,0.463,53.906"
"'[21:57:47.016]',0.638,0.455,53.906"
"'[21:57:47.024]',0.677,0.443,53.125"
"'[21:57:47.032]',0.693,0.435,53.125"
"'[21:57:47.040]',0.661,0.424,53.125"
"'[21:57:47.048]',0.717,0.416,53.125"
"'[21:57:47.056]',0.701,0.408,53.125"
"'[21:57:47.064]',0.748,0.400,52.344"
"'[21:57:47.072]',0.740,0.388,53.125"
"'[21:57:47.080]',0.811,0.380,53.125"
"'[21:57:47.088]',0.787,0.373,54.688"
"'[21:57:47.096]',0.850,0.365,57.031"
"'[21:57:47.104]',0.843,0.357,60.938"
"'[21:57:47.112]',0.890,0.353,66.406"
"'[21:57:47.120]',0.866,0.345,73.438"
"'[21:57:47.128]',0.929,0.337,80.469"
"'[21:57:47.136]',0.890,0.333,88.281"
"'[21:57:47.144]',0.921,0.325,95.312"
"'[21:57:47.152]',0.866,0.322,101.562"
"'[21:57:47.160]',0.858,0.314,107.031"
"'[21:57:47.168]',0.795,0.310,110.938"
"'[21:57:47.176]',0.780,0.302,113.281"
"'[21:57:47.184]',0.693,0.298,115.625"
"'[21:57:47.192]',0.669,0.290,116.406"
"'[21:57:47.200]',0.622,0.286,116.406"
"'[21:57:47.208]',0.606,0.278,116.406"
"'[21:57:47.216]',0.622,0.275,116.406"
"'[21:57:47.224]',0.583,0.267,115.625"
"'[21:57:47.232]',0.606,0.263,114.844"
"'[21:57:47.240]',0.575,0.259,114.062"
"'[21:57:47.248]',0.614,0.255,112.500"
"'[21:57:47.256]',0.567,0.251,111.719"
"'[21:57:47.264]',0.614,0.247,110.938"
"'[21:57:47.272]',0.583,0.247,110.156"
"'[21:57:47.280]',0.622,0.247,109.375"
"'[21:57:47.288]',0.598,0.251,107.812"
"'[21:57:47.296]',0.630,0.255,107.031"
"'[21:57:47.304]',0.598,0.267,105.469"
"'[21:57:47.312]',0.638,0.278,103.906"
"'[21:57:47.320]',0.606,0.298,101.562"
"'[21:57:47.328]',0.638,0.318,99.219"
"'[21:57:47.336]',0.606,0.345,96.875"
"'[21:57:47.344]',0.638,0.373,93.750"
"'[21:57:47.352]',0.598,0.404,90.625"
"'[21:57:47.360]',0.638,0.439,87.500"
"'[21:57:47.368]',0.598,0.475,84.375"
"'[21:57:47.376]',0.638,0.506,81.250"
"'[21:57:47.384]',0.598,0.557,78.906"
"'[21:57:47.392]',0.638,0.588,76.562"
"'[21:57:47.400]',0.606,0.620,75.000"
"'[21:57:47.408]',0.638,0.655,73.438"
"'[21:57:47.416]',0.622,0.678,72.656"
"'[21:57:47.424]',0.669,0.698,71.875"
"'[21:57:47.432]',0.685,0.714,71.094"
"'[21:57:47.440]',0.677,0.725,71.094"
"'[21:57:47.448]',0.740,0.737,71.094"
"'[21:57:47.456]',0.709,0.745,70.312"
"'[21:57:47.464]',0.756,0.753,70.312"
"'[21:57:47.472]',0.701,0.761,70.312"
"'[21:57:47.480]',0.685,0.765,69.531"
"'[21:57:47.488]',0.654,0.765,69.531"
"'[21:57:47.496]',0.669,0.769,68.750"
"'[21:57:47.504]',0.622,0.769,67.969"
"'[21:57:47.512]',0.638,0.769,67.969"
"'[21:57:47.520]',0.598,0.765,67.188"
"'[21:57:47.528]',0.614,0.761,66.406"
"'[21:57:47.536]',0.567,0.753,65.625"
"'[21:57:47.544]',0.606,0.745,65.625"
"'[21:57:47.552]',0.583,0.737,64.844"
"'[21:57:47.560]',0.606,0.725,64.062"
"'[21:57:47.568]',0.583,0.714,63.281"
"'[21:57:47.576]',0.614,0.702,62.500"
"'[21:57:47.584]',0.583,0.686,62.500"
"'[21:57:47.592]',0.614,0.675,61.719"
"'[21:57:47.600]',0.535,0.659,60.938"
"'[21:57:47.608]',0.512,0.643,60.156"
"'[21:57:47.616]',0.850,0.627,60.156"
"'[21:57:47.624]',1.504,0.616,59.375"
"'[21:57:47.632]',1.504,0.604,59.375"
"'[21:57:47.640]',1.504,0.592,58.594"
"'[21:57:47.648]',0.850,0.580,58.594"
"'[21:57:47.656]',0.528,0.573,57.812"
"'[21:57:47.664]',0.512,0.561,57.812"
"'[21:57:47.672]',0.512,0.553,57.812"
"'[21:57:47.680]',0.591,0.545,57.812"
"'[21:57:47.688]',0.583,0.537,57.031"
"'[21:57:47.696]',0.622,0.529,57.031"
"'[21:57:47.704]',0.598,0.522,57.031"
"'[21:57:47.712]',0.638,0.514,57.031"
"'[21:57:47.720]',0.614,0.506,56.250"
"'[21:57:47.728]',0.654,0.498,56.250"
"'[21:57:47.736]',0.622,0.490,56.250"
"'[21:57:47.744]',0.669,0.482,55.469"
"'[21:57:47.752]',0.630,0.471,55.469"
"'[21:57:47.760]',0.693,0.463,54.688"
"'[21:57:47.768]',0.654,0.455,54.688"
"'[21:57:47.776]',0.709,0.443,53.906"
"'[21:57:47.784]',0.685,0.435,53.906"
"'[21:57:47.792]',0.724,0.424,53.125"
"'[21:57:47.800]',0.709,0.416,53.125"
"'[21:57:47.808]',0.748,0.408,53.125"
"'[21:57:47.816]',0.748,0.400,52.344"
"'[21:57:47.824]',0.780,0.388,52.344"
"'[21:57:47.832]',0.764,0.380,52.344"
"'[21:57:47.840]',0.795,0.373,51.562"
"'[21:57:47.848]',0.827,0.365,51.562"
"'[21:57:47.856]',0.811,0.357,51.562"
"'[21:57:47.864]',0.866,0.349,52.344"
"'[21:57:47.872]',0.843,0.345,53.125"
"'[21:57:47.880]',0.906,0.337,55.469"
"'[21:57:47.888]',0.882,0.333,59.375"
"'[21:57:47.896]',0.945,0.325,64.062"
"'[21:57:47.904]',0.929,0.318,71.094"
"'[21:57:47.912]',0.969,0.314,78.125"
"'[21:57:47.920]',0.929,0.310,85.938"
"'[21:57:47.928]',0.961,0.302,92.969"
"'[21:57:47.936]',0.921,0.298,100.000"
"'[21:57:47.944]',0.929,0.294,105.469"
"'[21:57:47.952]',0.850,0.294,109.375"
"'[21:57:47.960]',0.835,0.290,112.500"
"'[21:57:47.968]',0.740,0.286,114.062"
"'[21:57:47.976]',0.748,0.282,114.844"
"'[21:57:47.984]',0.677,0.275,115.625"
"'[21:57:47.992]',0.693,0.271,115.625"
"'[21:57:48.000]',0.638,0.267,114.844"
