"'Time','I','II','III','V','RESP','PLETH','ABP'"
"'hh:mm:ss.mmm','mV','mV','mV','mV','pm','NU','mmHg'"
"'[19:18:24.780]',-,-,-,-,-,-,-"
"'[19:18:24.788]',-,-,-,-,-,-,-"
"'[19:18:24.796]',-,-,-,-,-,-,-"
"'[19:18:24.804]',-,-,-,-,-,-,-"
"'[19:18:24.812]',-,-,-,-,-,-,-"
"'[19:18:24.820]',-,-,-,-,-,-,-"
"'[19:18:24.828]',-,-,-,-,-,-,-"
"'[19:18:24.836]',-,-,-,-,-,-,-"
"'[19:18:24.844]',-,-,-,-,-,-,-"
"'[19:18:24.852]',-,-,-,-,-,-,-"
"'[19:18:24.860]',-,-,-,-,-,-,-"
"'[19:18:24.868]',-,-,-,-,-,-,-"
"'[19:18:24.876]',-,-,-,-,-,-,-"
"'[19:18:24.884]',-,-,-,-,-,-,-"
"'[19:18:24.892]',-,-,-,-,-,-,-"
"'[19:18:24.900]',-,-,-,-,-,-,-"
"'[19:18:24.908]',-,-,-,-,-,-,-"
"'[19:18:24.916]',-,-,-,-,-,-,-"
"'[19:18:24.924]',-,-,-,-,-,-,-"
"'[19:18:24.932]',-,-,-,-,-,-,-"
"'[19:18:24.940]',-,-,-,-,-,-,-"
"'[19:18:24.948]',-,-,-,-,-,-,-"
"'[19:18:24.956]',-,-,-,-,-,-,-"
"'[19:18:24.964]',-,-,-,-,-,-,-"
"'[19:18:24.972]',-,-,-,-,-,-,-"
"'[19:18:24.980]',-,-,-,-,-,-,-"
"'[19:18:24.988]',-,-,-,-,-,-,-"
"'[19:18:24.996]',-,-,-,-,-,-,-"
"'[19:18:25.004]',-,-,-,-,-,-,-"
"'[19:18:25.012]',-,-,-,-,-,-,-"
"'[19:18:25.020]',-,-,-,-,-,-,-"
"'[19:18:25.028]',-,-,-,-,-,-,-"
"'[19:18:25.036]',-,-,-,-,-,-,-"
"'[19:18:25.044]',-,-,-,-,-,-,-"
"'[19:18:25.052]',-,-,-,-,-,-,-"
"'[19:18:25.060]',-,-,-,-,-,-,-"
"'[19:18:25.068]',-,-,-,-,-,-,-"
"'[19:18:25.076]',-,-,-,-,-,-,-"
"'[19:18:25.084]',-,-,-,-,-,-,-"
"'[19:18:25.092]',-,-,-,-,-,-,-"
"'[19:18:25.100]',-,-,-,-,-,-,-"
"'[19:18:25.108]',-,-,-,-,-,-,-"
"'[19:18:25.116]',-,-,-,-,-,-,-"
"'[19:18:25.124]',-,-,-,-,-,-,-"
"'[19:18:25.132]',-,-,-,-,-,-,-"
"'[19:18:25.140]',-,-,-,-,-,-,-"
"'[19:18:25.148]',-,-,-,-,-,-,-"
"'[19:18:25.156]',-,-,-,-,-,-,-"
"'[19:18:25.164]',-,-,-,-,-,-,-"
"'[19:18:25.172]',-,-,-,-,-,-,-"
"'[19:18:25.180]',-,-,-,-,-,-,-"
