"'Time','II','PLETH','ABP','I','III','ICP','V','MCL'"
"'hh:mm:ss.mmm','mV','NU','mmHg','mV','mV','mmHg','mV','mV'"
"'[13:18:40.000]',-,-,-,-,-,-,-,-"
"'[13:18:40.008]',-,-,-,-,-,-,-,-"
"'[13:18:40.016]',-,-,-,-,-,-,-,-"
"'[13:18:40.024]',-,-,-,-,-,-,-,-"
"'[13:18:40.032]',-,-,-,-,-,-,-,-"
"'[13:18:40.040]',-,-,-,-,-,-,-,-"
"'[13:18:40.048]',-,-,-,-,-,-,-,-"
"'[13:18:40.056]',-,-,-,-,-,-,-,-"
"'[13:18:40.064]',-,-,-,-,-,-,-,-"
"'[13:18:40.072]',-,-,-,-,-,-,-,-"
"'[13:18:40.080]',-,-,-,-,-,-,-,-"
"'[13:18:40.088]',-,-,-,-,-,-,-,-"
"'[13:18:40.096]',-,-,-,-,-,-,-,-"
"'[13:18:40.104]',-,-,-,-,-,-,-,-"
"'[13:18:40.112]',-,-,-,-,-,-,-,-"
"'[13:18:40.120]',-,-,-,-,-,-,-,-"
"'[13:18:40.128]',-,-,-,-,-,-,-,-"
"'[13:18:40.136]',-,-,-,-,-,-,-,-"
"'[13:18:40.144]',-,-,-,-,-,-,-,-"
"'[13:18:40.152]',-,-,-,-,-,-,-,-"
"'[13:18:40.160]',-,-,-,-,-,-,-,-"
"'[13:18:40.168]',-,-,-,-,-,-,-,-"
"'[13:18:40.176]',-,-,-,-,-,-,-,-"
"'[13:18:40.184]',-,-,-,-,-,-,-,-"
"'[13:18:40.192]',-,-,-,-,-,-,-,-"
"'[13:18:40.200]',-,-,-,-,-,-,-,-"
"'[13:18:40.208]',-,-,-,-,-,-,-,-"
"'[13:18:40.216]',-,-,-,-,-,-,-,-"
"'[13:18:40.224]',-,-,-,-,-,-,-,-"
"'[13:18:40.232]',-,-,-,-,-,-,-,-"
"'[13:18:40.240]',-,-,-,-,-,-,-,-"
"'[13:18:40.248]',-,-,-,-,-,-,-,-"
"'[13:18:40.256]',-,-,-,-,-,-,-,-"
"'[13:18:40.264]',-,-,-,-,-,-,-,-"
"'[13:18:40.272]',-,-,-,-,-,-,-,-"
"'[13:18:40.280]',-,-,-,-,-,-,-,-"
"'[13:18:40.288]',-,-,-,-,-,-,-,-"
"'[13:18:40.296]',-,-,-,-,-,-,-,-"
"'[13:18:40.304]',-,-,-,-,-,-,-,-"
"'[13:18:40.312]',-,-,-,-,-,-,-,-"
"'[13:18:40.320]',-,-,-,-,-,-,-,-"
"'[13:18:40.328]',-,-,-,-,-,-,-,-"
"'[13:18:40.336]',-,-,-,-,-,-,-,-"
"'[13:18:40.344]',-,-,-,-,-,-,-,-"
"'[13:18:40.352]',-,-,-,-,-,-,-,-"
