"'Time','II','ABP','PLETH'"
"'hh:mm:ss.mmm','mV','mmHg','NU'"
"'[16:32:39.000]',-,-,-"
"'[16:32:39.008]',-,-,-"
"'[16:32:39.016]',-,-,-"
"'[16:32:39.024]',-,-,-"
"'[16:32:39.032]',-,-,-"
"'[16:32:39.040]',-,-,-"
"'[16:32:39.048]',-,-,-"
"'[16:32:39.056]',-,-,-"
"'[16:32:39.064]',-,-,-"
"'[16:32:39.072]',-,-,-"
"'[16:32:39.080]',-,-,-"
"'[16:32:39.088]',-,-,-"
"'[16:32:39.096]',-,-,-"
"'[16:32:39.104]',-,-,-"
"'[16:32:39.112]',-,-,-"
"'[16:32:39.120]',-,-,-"
"'[16:32:39.128]',-,-,-"
"'[16:32:39.136]',-,-,-"
"'[16:32:39.144]',-,-,-"
"'[16:32:39.152]',-,-,-"
"'[16:32:39.160]',-,-,-"
"'[16:32:39.168]',-,-,-"
"'[16:32:39.176]',-,-,-"
"'[16:32:39.184]',-,-,-"
"'[16:32:39.192]',-,-,-"
"'[16:32:39.200]',-,-,-"
"'[16:32:39.208]',-,-,-"
"'[16:32:39.216]',-,-,-"
"'[16:32:39.224]',-,-,-"
"'[16:32:39.232]',-,-,-"
"'[16:32:39.240]',-,-,-"
"'[16:32:39.248]',-,-,-"
"'[16:32:39.256]',-,-,-"
"'[16:32:39.264]',-,-,-"
"'[16:32:39.272]',-,-,-"
"'[16:32:39.280]',-,-,-"
"'[16:32:39.288]',-,-,-"
"'[16:32:39.296]',-,-,-"
"'[16:32:39.304]',-,-,-"
"'[16:32:39.312]',-,-,-"
"'[16:32:39.320]',-,-,-"
"'[16:32:39.328]',-,-,-"
"'[16:32:39.336]',-,-,-"
"'[16:32:39.344]',-,-,-"
"'[16:32:39.352]',-,-,-"
"'[16:32:39.360]',-,-,-"
"'[16:32:39.368]',-,-,-"
"'[16:32:39.376]',-,-,-"
"'[16:32:39.384]',-,-,-"
"'[16:32:39.392]',-,-,-"
"'[16:32:39.400]',-,-,-"
"'[16:32:39.408]',-,-,-"
"'[16:32:39.416]',-,-,-"
"'[16:32:39.424]',-,-,-"
"'[16:32:39.432]',-,-,-"
"'[16:32:39.440]',-,-,-"
"'[16:32:39.448]',-,-,-"
"'[16:32:39.456]',-,-,-"
"'[16:32:39.464]',-,-,-"
"'[16:32:39.472]',-,-,-"
"'[16:32:39.480]',-,-,-"
"'[16:32:39.488]',-,-,-"
"'[16:32:39.496]',-,-,-"
"'[16:32:39.504]',-,-,-"
"'[16:32:39.512]',-,-,-"
"'[16:32:39.520]',-,-,-"
"'[16:32:39.528]',-,-,-"
"'[16:32:39.536]',-,-,-"
"'[16:32:39.544]',-,-,-"
"'[16:32:39.552]',-,-,-"
"'[16:32:39.560]',-,-,-"
"'[16:32:39.568]',-,-,-"
"'[16:32:39.576]',-,-,-"
"'[16:32:39.584]',-,-,-"
"'[16:32:39.592]',-,-,-"
"'[16:32:39.600]',-,-,-"
"'[16:32:39.608]',-,-,-"
"'[16:32:39.616]',-,-,-"
"'[16:32:39.624]',-,-,-"
"'[16:32:39.632]',-,-,-"
"'[16:32:39.640]',-,-,-"
"'[16:32:39.648]',-,-,-"
"'[16:32:39.656]',-,-,-"
"'[16:32:39.664]',-,-,-"
"'[16:32:39.672]',-,-,-"
"'[16:32:39.680]',-,-,-"
"'[16:32:39.688]',-,-,-"
"'[16:32:39.696]',-,-,-"
"'[16:32:39.704]',-,-,-"
"'[16:32:39.712]',-,-,-"
"'[16:32:39.720]',-,-,-"
"'[16:32:39.728]',-,-,-"
"'[16:32:39.736]',-,-,-"
"'[16:32:39.744]',-,-,-"
"'[16:32:39.752]',-,-,-"
