"'Time','II','III','AVR','V','RESP','PLETH','ABP','CVP'"
"'hh:mm:ss.mmm','mV','mV','mV','mV','pm','NU','mmHg','mmHg'"
"'[10:51:28.792]',-,-,-,-,-,-,-,-"
"'[10:51:28.800]',-,-,-,-,-,-,-,-"
"'[10:51:28.808]',-,-,-,-,-,-,-,-"
"'[10:51:28.816]',-,-,-,-,-,-,-,-"
"'[10:51:28.824]',-,-,-,-,-,-,-,-"
"'[10:51:28.832]',-,-,-,-,-,-,-,-"
"'[10:51:28.840]',-,-,-,-,-,-,-,-"
"'[10:51:28.848]',-,-,-,-,-,-,-,-"
"'[10:51:28.856]',-,-,-,-,-,-,-,-"
"'[10:51:28.864]',-,-,-,-,-,-,-,-"
"'[10:51:28.872]',-,-,-,-,-,-,-,-"
"'[10:51:28.880]',-,-,-,-,-,-,-,-"
"'[10:51:28.888]',-,-,-,-,-,-,-,-"
"'[10:51:28.896]',-,-,-,-,-,-,-,-"
"'[10:51:28.904]',-,-,-,-,-,-,-,-"
"'[10:51:28.912]',-,-,-,-,-,-,-,-"
"'[10:51:28.920]',-,-,-,-,-,-,-,-"
"'[10:51:28.928]',-,-,-,-,-,-,-,-"
"'[10:51:28.936]',-,-,-,-,-,-,-,-"
"'[10:51:28.944]',-,-,-,-,-,-,-,-"
"'[10:51:28.952]',-,-,-,-,-,-,-,-"
"'[10:51:28.960]',-,-,-,-,-,-,-,-"
"'[10:51:28.968]',-,-,-,-,-,-,-,-"
"'[10:51:28.976]',-,-,-,-,-,-,-,-"
"'[10:51:28.984]',-,-,-,-,-,-,-,-"
"'[10:51:28.992]',-,-,-,-,-,-,-,-"
"'[10:51:29.000]',-,-,-,-,-,-,-,-"
"'[10:51:29.008]',-,-,-,-,-,-,-,-"
"'[10:51:29.016]',-,-,-,-,-,-,-,-"
"'[10:51:29.024]',-,-,-,-,-,-,-,-"
"'[10:51:29.032]',-,-,-,-,-,-,-,-"
"'[10:51:29.040]',-,-,-,-,-,-,-,-"
"'[10:51:29.048]',-,-,-,-,-,-,-,-"
"'[10:51:29.056]',-,-,-,-,-,-,-,-"
"'[10:51:29.064]',-,-,-,-,-,-,-,-"
"'[10:51:29.072]',-,-,-,-,-,-,-,-"
"'[10:51:29.080]',-,-,-,-,-,-,-,-"
"'[10:51:29.088]',-,-,-,-,-,-,-,-"
"'[10:51:29.096]',-,-,-,-,-,-,-,-"
"'[10:51:29.104]',-,-,-,-,-,-,-,-"
"'[10:51:29.112]',-,-,-,-,-,-,-,-"
"'[10:51:29.120]',-,-,-,-,-,-,-,-"
"'[10:51:29.128]',-,-,-,-,-,-,-,-"
"'[10:51:29.136]',-,-,-,-,-,-,-,-"
"'[10:51:29.144]',-,-,-,-,-,-,-,-"
"'[10:51:29.152]',-,-,-,-,-,-,-,-"
"'[10:51:29.160]',-,-,-,-,-,-,-,-"
"'[10:51:29.168]',-,-,-,-,-,-,-,-"
"'[10:51:29.176]',-,-,-,-,-,-,-,-"
"'[10:51:29.184]',-,-,-,-,-,-,-,-"
