'Time','II','PLETH','ABP','III'
'hh:mm:ss.mmm','mV','NU','mmHg','mV'
'[03:55:25.000]',0.344,0.490,95.625,-
'[03:55:25.008]',0.352,0.490,91.875,-
'[03:55:25.016]',0.344,0.490,89.062,-
'[03:55:25.024]',0.312,0.490,87.188,-
'[03:55:25.032]',0.281,0.490,86.250,-
'[03:55:25.040]',0.250,0.490,86.250,-
'[03:55:25.048]',0.234,0.490,85.312,-
'[03:55:25.056]',0.219,0.490,85.312,-
'[03:55:25.064]',0.203,0.490,85.312,-
'[03:55:25.072]',0.195,0.490,83.438,-
'[03:55:25.080]',0.195,0.490,83.438,-
'[03:55:25.088]',0.227,0.502,83.438,-
'[03:55:25.096]',0.281,0.502,83.438,-
'[03:55:25.104]',0.312,0.502,80.625,-
'[03:55:25.112]',0.266,0.502,76.875,-
'[03:55:25.120]',0.227,0.502,75.938,-
'[03:55:25.128]',0.195,0.502,76.875,-
'[03:55:25.136]',0.031,0.510,78.750,-
'[03:55:25.144]',-0.156,0.510,79.688,-
'[03:55:25.152]',-0.188,0.518,79.688,-
'[03:55:25.160]',-0.055,0.518,78.750,-
'[03:55:25.168]',0.086,0.525,75.938,-
'[03:55:25.176]',0.156,0.525,74.062,-
'[03:55:25.184]',0.203,0.525,72.188,-
'[03:55:25.192]',0.227,0.533,73.125,-
'[03:55:25.200]',0.234,0.533,75.938,-
'[03:55:25.208]',0.242,0.533,78.750,-
'[03:55:25.216]',0.242,0.533,78.750,-
'[03:55:25.224]',0.242,0.541,75.000,-
'[03:55:25.232]',0.250,0.541,71.250,-
'[03:55:25.240]',0.250,0.541,68.438,-
'[03:55:25.248]',0.250,0.541,67.500,-
'[03:55:25.256]',0.266,0.541,68.438,-
'[03:55:25.264]',0.273,0.541,71.250,-
'[03:55:25.272]',0.281,0.541,71.250,-
'[03:55:25.280]',0.281,0.541,69.375,-
'[03:55:25.288]',0.289,0.541,67.500,-
'[03:55:25.296]',0.289,0.541,68.438,-
'[03:55:25.304]',0.289,0.541,71.250,-
'[03:55:25.312]',0.297,0.541,72.188,-
'[03:55:25.320]',0.297,0.541,69.375,-
'[03:55:25.328]',0.289,0.541,64.688,-
'[03:55:25.336]',0.281,0.541,60.938,-
'[03:55:25.344]',0.289,0.533,59.062,-
'[03:55:25.352]',0.297,0.533,60.938,-
'[03:55:25.360]',0.312,0.533,63.750,-
'[03:55:25.368]',0.328,0.533,69.375,-
'[03:55:25.376]',0.344,0.533,75.938,-
'[03:55:25.384]',0.359,0.525,84.375,-
'[03:55:25.392]',0.367,0.525,93.750,-
'[03:55:25.400]',0.375,0.525,102.188,-
'[03:55:25.408]',0.367,0.525,108.750,-
'[03:55:25.416]',0.352,0.525,113.438,-
'[03:55:25.424]',0.328,0.518,117.188,-
'[03:55:25.432]',0.297,0.518,120.938,-
'[03:55:25.440]',0.281,0.518,122.812,-
'[03:55:25.448]',0.281,0.518,122.812,-
'[03:55:25.456]',0.273,0.510,122.812,-
'[03:55:25.464]',0.266,0.510,122.812,-
'[03:55:25.472]',0.250,0.510,124.688,-
'[03:55:25.480]',0.242,0.510,125.625,-
'[03:55:25.488]',0.258,0.502,127.500,-
'[03:55:25.496]',0.273,0.502,128.438,-
'[03:55:25.504]',0.273,0.502,127.500,-
'[03:55:25.512]',0.266,0.502,123.750,-
'[03:55:25.520]',0.273,0.502,119.062,-
'[03:55:25.528]',0.289,0.502,114.375,-
'[03:55:25.536]',0.297,0.502,109.688,-
'[03:55:25.544]',0.320,0.490,104.062,-
'[03:55:25.552]',0.336,0.490,95.625,-
'[03:55:25.560]',0.336,0.490,85.312,-
'[03:55:25.568]',0.336,0.482,79.688,-
'[03:55:25.576]',0.336,0.482,81.562,-
'[03:55:25.584]',0.359,0.482,89.062,-
'[03:55:25.592]',0.367,0.475,95.625,-
'[03:55:25.600]',0.336,0.475,98.438,-
'[03:55:25.608]',0.297,0.475,99.375,-
'[03:55:25.616]',0.250,0.475,97.500,-
'[03:55:25.624]',0.234,0.475,89.062,-
