'Time','II','ABP','PLETH'
'hh:mm:ss.mmm','mV','mmHg','NU'
'[16:06:44.000]',-,-,-
'[16:06:44.008]',-,-,-
'[16:06:44.016]',-,-,-
'[16:06:44.024]',-,-,-
'[16:06:44.032]',-,-,-
'[16:06:44.040]',-,-,-
'[16:06:44.048]',-,-,-
'[16:06:44.056]',-,-,-
'[16:06:44.064]',-,-,-
'[16:06:44.072]',-,-,-
'[16:06:44.080]',-,-,-
'[16:06:44.088]',-,-,-
'[16:06:44.096]',-,-,-
'[16:06:44.104]',-,-,-
'[16:06:44.112]',-,-,-
'[16:06:44.120]',-,-,-
'[16:06:44.128]',-,-,-
'[16:06:44.136]',-,-,-
'[16:06:44.144]',-,-,-
'[16:06:44.152]',-,-,-
'[16:06:44.160]',-,-,-
'[16:06:44.168]',-,-,-
'[16:06:44.176]',-,-,-
'[16:06:44.184]',-,-,-
'[16:06:44.192]',-,-,-
'[16:06:44.200]',-,-,-
'[16:06:44.208]',-,-,-
'[16:06:44.216]',-,-,-
'[16:06:44.224]',-,-,-
'[16:06:44.232]',-,-,-
'[16:06:44.240]',-,-,-
'[16:06:44.248]',-,-,-
'[16:06:44.256]',-,-,-
'[16:06:44.264]',-,-,-
'[16:06:44.272]',-,-,-
'[16:06:44.280]',-,-,-
'[16:06:44.288]',-,-,-
'[16:06:44.296]',-,-,-
'[16:06:44.304]',-,-,-
'[16:06:44.312]',-,-,-
'[16:06:44.320]',-,-,-
'[16:06:44.328]',-,-,-
'[16:06:44.336]',-,-,-
'[16:06:44.344]',-,-,-
'[16:06:44.352]',-,-,-
'[16:06:44.360]',-,-,-
'[16:06:44.368]',-,-,-
'[16:06:44.376]',-,-,-
'[16:06:44.384]',-,-,-
'[16:06:44.392]',-,-,-
'[16:06:44.400]',-,-,-
'[16:06:44.408]',-,-,-
'[16:06:44.416]',-,-,-
'[16:06:44.424]',-,-,-
'[16:06:44.432]',-,-,-
'[16:06:44.440]',-,-,-
'[16:06:44.448]',-,-,-
'[16:06:44.456]',-,-,-
'[16:06:44.464]',-,-,-
'[16:06:44.472]',-,-,-
'[16:06:44.480]',-,-,-
'[16:06:44.488]',-,-,-
'[16:06:44.496]',-,-,-
'[16:06:44.504]',-,-,-
'[16:06:44.512]',-,-,-
'[16:06:44.520]',-,-,-
'[16:06:44.528]',-,-,-
'[16:06:44.536]',-,-,-
'[16:06:44.544]',-,-,-
'[16:06:44.552]',-,-,-
'[16:06:44.560]',-,-,-
'[16:06:44.568]',-,-,-
'[16:06:44.576]',-,-,-
'[16:06:44.584]',-,-,-
'[16:06:44.592]',-,-,-
'[16:06:44.600]',-,-,-
'[16:06:44.608]',-,-,-
'[16:06:44.616]',-,-,-
'[16:06:44.624]',-,-,-
'[16:06:44.632]',-,-,-
'[16:06:44.640]',-,-,-
'[16:06:44.648]',-,-,-
'[16:06:44.656]',-,-,-
'[16:06:44.664]',-,-,-
'[16:06:44.672]',-,-,-
'[16:06:44.680]',-,-,-
'[16:06:44.688]',-,-,-
'[16:06:44.696]',-,-,-
'[16:06:44.704]',-,-,-
'[16:06:44.712]',-,-,-
'[16:06:44.720]',-,-,-
'[16:06:44.728]',-,-,-
'[16:06:44.736]',-,-,-
'[16:06:44.744]',-,-,-
'[16:06:44.752]',-,-,-
'[16:06:44.760]',-,-,-
'[16:06:44.768]',-,-,-
'[16:06:44.776]',-,-,-
'[16:06:44.784]',-,-,-
'[16:06:44.792]',-,-,-
'[16:06:44.800]',-,-,-
'[16:06:44.808]',-,-,-
'[16:06:44.816]',-,-,-
'[16:06:44.824]',-,-,-
'[16:06:44.832]',-,-,-
'[16:06:44.840]',-,-,-
'[16:06:44.848]',-,-,-
'[16:06:44.856]',-,-,-
'[16:06:44.864]',-,-,-
'[16:06:44.872]',-,-,-
'[16:06:44.880]',-,-,-
'[16:06:44.888]',-,-,-
'[16:06:44.896]',-,-,-
'[16:06:44.904]',-,-,-
'[16:06:44.912]',-,-,-
'[16:06:44.920]',-,-,-
'[16:06:44.928]',-,-,-
'[16:06:44.936]',-,-,-
'[16:06:44.944]',-,-,-
'[16:06:44.952]',-,-,-
'[16:06:44.960]',-,-,-
'[16:06:44.968]',-,-,-
'[16:06:44.976]',-,-,-
'[16:06:44.984]',-,-,-
'[16:06:44.992]',-,-,-
'[16:06:45.000]',-,-,-
'[16:06:45.008]',-,-,-
'[16:06:45.016]',-,-,-
'[16:06:45.024]',-,-,-
'[16:06:45.032]',-,-,-
'[16:06:45.040]',-,-,-
'[16:06:45.048]',-,-,-
'[16:06:45.056]',-,-,-
'[16:06:45.064]',-,-,-
'[16:06:45.072]',-,-,-
'[16:06:45.080]',-,-,-
'[16:06:45.088]',-,-,-
'[16:06:45.096]',-,-,-
'[16:06:45.104]',-,-,-
'[16:06:45.112]',-,-,-
'[16:06:45.120]',-,-,-
'[16:06:45.128]',-,-,-
'[16:06:45.136]',-,-,-
'[16:06:45.144]',-,-,-
'[16:06:45.152]',-,-,-
'[16:06:45.160]',-,-,-
'[16:06:45.168]',-,-,-
'[16:06:45.176]',-,-,-
'[16:06:45.184]',-,-,-
'[16:06:45.192]',-,-,-
'[16:06:45.200]',-,-,-
'[16:06:45.208]',-,-,-
'[16:06:45.216]',-,-,-
'[16:06:45.224]',-,-,-
'[16:06:45.232]',-,-,-
'[16:06:45.240]',-,-,-
'[16:06:45.248]',-,-,-
'[16:06:45.256]',-,-,-
'[16:06:45.264]',-,-,-
'[16:06:45.272]',-,-,-
'[16:06:45.280]',-,-,-
'[16:06:45.288]',-,-,-
'[16:06:45.296]',-,-,-
'[16:06:45.304]',-,-,-
'[16:06:45.312]',-,-,-
'[16:06:45.320]',-,-,-
'[16:06:45.328]',-,-,-
'[16:06:45.336]',-,-,-
'[16:06:45.344]',-,-,-
'[16:06:45.352]',-,-,-
'[16:06:45.360]',-,-,-
'[16:06:45.368]',-,-,-
'[16:06:45.376]',-,-,-
'[16:06:45.384]',-,-,-
'[16:06:45.392]',-,-,-
'[16:06:45.400]',-,-,-
'[16:06:45.408]',-,-,-
'[16:06:45.416]',-,-,-
'[16:06:45.424]',-,-,-
'[16:06:45.432]',-,-,-
'[16:06:45.440]',-,-,-
'[16:06:45.448]',-,-,-
'[16:06:45.456]',-,-,-
'[16:06:45.464]',-,-,-
'[16:06:45.472]',-,-,-
'[16:06:45.480]',-,-,-
'[16:06:45.488]',-,-,-
'[16:06:45.496]',-,-,-
'[16:06:45.504]',-,-,-
'[16:06:45.512]',-,-,-
'[16:06:45.520]',-,-,-
'[16:06:45.528]',-,-,-
'[16:06:45.536]',-,-,-
'[16:06:45.544]',-,-,-
'[16:06:45.552]',-,-,-
'[16:06:45.560]',-,-,-
'[16:06:45.568]',-,-,-
'[16:06:45.576]',-,-,-
'[16:06:45.584]',-,-,-
'[16:06:45.592]',-,-,-
'[16:06:45.600]',-,-,-
'[16:06:45.608]',-,-,-
'[16:06:45.616]',-,-,-
'[16:06:45.624]',-,-,-
'[16:06:45.632]',-,-,-
'[16:06:45.640]',-,-,-
'[16:06:45.648]',-,-,-
'[16:06:45.656]',-,-,-
'[16:06:45.664]',-,-,-
'[16:06:45.672]',-,-,-
'[16:06:45.680]',-,-,-
'[16:06:45.688]',-,-,-
'[16:06:45.696]',-,-,-
'[16:06:45.704]',-,-,-
'[16:06:45.712]',-,-,-
'[16:06:45.720]',-,-,-
'[16:06:45.728]',-,-,-
'[16:06:45.736]',-,-,-
'[16:06:45.744]',-,-,-
'[16:06:45.752]',-,-,-
'[16:06:45.760]',-,-,-
'[16:06:45.768]',-,-,-
'[16:06:45.776]',-,-,-
'[16:06:45.784]',-,-,-
'[16:06:45.792]',-,-,-
'[16:06:45.800]',-,-,-
'[16:06:45.808]',-,-,-
'[16:06:45.816]',-,-,-
'[16:06:45.824]',-,-,-
'[16:06:45.832]',-,-,-
'[16:06:45.840]',-,-,-
'[16:06:45.848]',-,-,-
'[16:06:45.856]',-,-,-
'[16:06:45.864]',-,-,-
'[16:06:45.872]',-,-,-
'[16:06:45.880]',-,-,-
'[16:06:45.888]',-,-,-
'[16:06:45.896]',-,-,-
'[16:06:45.904]',-,-,-
'[16:06:45.912]',-,-,-
'[16:06:45.920]',-,-,-
'[16:06:45.928]',-,-,-
'[16:06:45.936]',-,-,-
'[16:06:45.944]',-,-,-
'[16:06:45.952]',-,-,-
'[16:06:45.960]',-,-,-
'[16:06:45.968]',-,-,-
'[16:06:45.976]',-,-,-
'[16:06:45.984]',-,-,-
'[16:06:45.992]',-,-,-
'[16:06:46.000]',-,-,-
'[16:06:46.008]',-,-,-
'[16:06:46.016]',-,-,-
'[16:06:46.024]',-,-,-
'[16:06:46.032]',-,-,-
'[16:06:46.040]',-,-,-
'[16:06:46.048]',-,-,-
