'Time','II','AVR','V','RESP','PLETH','ABP','CVP','ICP'
'hh:mm:ss.mmm','mV','mV','mV','pm','NU','mmHg','mmHg','mmHg'
'[20:48:03.912]',0.320,0.415,0.925,0.630,2.891,76.881,12.309,-
'[20:48:03.920]',0.325,0.405,0.930,0.623,2.912,76.539,15.308,-
'[20:48:03.928]',0.295,0.435,0.910,0.615,2.933,75.562,16.871,-
'[20:48:03.936]',0.320,0.410,0.930,0.607,2.949,74.634,16.431,-
'[20:48:03.944]',0.270,0.450,0.915,0.600,2.961,74.487,14.995,-
'[20:48:03.952]',0.280,0.440,0.940,0.592,2.969,74.536,13.618,-
'[20:48:03.960]',0.250,0.470,0.920,0.585,2.971,74.097,12.494,-
'[20:48:03.968]',0.275,0.440,0.950,0.578,2.968,73.120,11.752,-
'[20:48:03.976]',0.250,0.465,0.925,0.571,2.960,72.436,11.683,-
'[20:48:03.984]',0.270,0.450,0.940,0.563,2.946,72.289,12.494,-
'[20:48:03.992]',0.255,0.465,0.920,0.556,2.930,71.947,13.745,-
'[20:48:04.000]',0.285,0.435,0.930,0.549,2.909,70.922,14.624,-
'[20:48:04.008]',0.280,0.450,0.915,0.542,2.886,69.945,14.995,-
'[20:48:04.016]',0.300,0.420,0.940,0.534,2.861,69.749,15.181,-
'[20:48:04.024]',0.280,0.445,0.920,0.528,2.832,70.189,15.181,-
'[20:48:04.032]',0.315,0.410,0.930,0.521,2.798,70.091,14.682,-
'[20:48:04.040]',0.305,0.425,0.905,0.514,2.761,69.310,13.559,-
'[20:48:04.048]',0.345,0.390,0.915,0.507,2.720,68.382,12.807,-
'[20:48:04.056]',0.330,0.405,0.890,0.499,2.677,68.382,13.432,-
'[20:48:04.064]',0.370,0.370,0.880,0.492,2.633,69.066,15.122,-
'[20:48:04.072]',0.380,0.365,0.885,0.485,2.587,69.554,16.372,-
'[20:48:04.080]',0.420,0.335,0.875,0.478,2.540,70.042,16.187,-
'[20:48:04.088]',0.420,0.350,0.880,0.472,2.495,71.801,15.376,-
'[20:48:04.096]',0.450,0.320,0.850,0.466,2.448,76.246,15.376,-
'[20:48:04.104]',0.445,0.330,0.855,0.460,2.398,82.986,16.626,-
'[20:48:04.112]',0.470,0.310,0.820,0.455,2.350,90.117,17.994,-
'[20:48:04.120]',0.490,0.295,0.835,0.451,2.308,96.223,18.248,-
'[20:48:04.128]',0.475,0.310,0.815,0.447,2.270,100.912,17.623,-
'[20:48:04.136]',0.505,0.285,0.835,0.442,2.235,104.429,17.369,-
'[20:48:04.144]',0.490,0.305,0.825,0.438,2.200,106.724,18.121,-
'[20:48:04.152]',0.525,0.275,0.845,0.434,2.168,107.848,18.932,-
'[20:48:04.160]',0.485,0.315,0.835,0.429,2.141,108.629,18.746,-
'[20:48:04.168]',0.500,0.300,0.865,0.425,2.113,109.850,17.877,-
'[20:48:04.176]',0.465,0.335,0.855,0.420,2.087,112.000,17.564,-
'[20:48:04.184]',0.480,0.320,0.900,0.416,2.062,114.246,18.375,-
'[20:48:04.192]',0.435,0.365,0.885,0.412,2.036,115.663,19.684,-
'[20:48:04.200]',0.440,0.360,0.935,0.407,2.010,116.542,20.622,-
'[20:48:04.208]',0.390,0.400,0.930,0.402,1.983,117.421,21.120,-
'[20:48:04.216]',0.375,0.405,0.955,0.397,1.957,118.691,21.306,-
'[20:48:04.224]',0.330,0.445,0.950,0.392,1.931,119.619,20.690,-
'[20:48:04.232]',0.350,0.425,0.990,0.387,1.903,119.668,18.815,-
'[20:48:04.240]',0.305,0.460,0.985,0.382,1.875,118.887,16.118,-
'[20:48:04.248]',0.320,0.450,1.005,0.377,1.848,117.861,14.438,-
'[20:48:04.256]',0.285,0.480,1.000,0.373,1.822,117.372,15.122,-
'[20:48:04.264]',0.315,0.450,1.030,0.369,1.798,117.226,17.564,-
'[20:48:04.272]',0.265,0.490,1.010,0.366,1.772,116.933,19.440,-
'[20:48:04.280]',0.255,0.500,1.005,0.363,1.752,116.054,19.000,-
'[20:48:04.288]',0.270,0.475,1.020,0.361,1.731,115.223,16.939,-
'[20:48:04.296]',0.260,0.490,1.005,0.358,1.705,114.881,15.376,-
'[20:48:04.304]',0.295,0.460,1.025,0.356,1.676,114.344,15.376,-
'[20:48:04.312]',0.255,0.500,1.010,0.354,1.649,112.732,16.001,-
'[20:48:04.320]',0.295,0.455,1.030,0.353,1.622,109.802,16.001,-
'[20:48:04.328]',0.270,0.495,1.005,0.351,1.595,106.382,15.308,-
'[20:48:04.336]',0.300,0.465,1.020,0.350,1.572,103.256,14.936,-
'[20:48:04.344]',0.265,0.495,1.000,0.349,1.555,100.326,15.562,-
'[20:48:04.352]',0.295,0.465,1.015,0.347,1.545,97.004,16.431,-
'[20:48:04.360]',0.280,0.480,1.000,0.346,1.543,93.536,16.939,-
'[20:48:04.368]',0.305,0.450,1.015,0.344,1.552,90.655,16.871,-
'[20:48:04.376]',0.280,0.475,0.990,0.342,1.569,88.799,16.626,-
'[20:48:04.384]',0.300,0.450,1.015,0.340,1.591,87.187,15.874,-
'[20:48:04.392]',0.285,0.465,0.980,0.338,1.622,85.233,14.184,-
'[20:48:04.400]',0.310,0.450,1.000,0.335,1.653,83.035,11.937,-
'[20:48:04.408]',0.280,0.480,0.985,0.332,1.707,81.423,10.619,-
'[20:48:04.416]',0.320,0.445,1.005,0.329,1.774,80.886,11.556,-
'[20:48:04.424]',0.300,0.470,0.995,0.326,1.828,80.788,14.184,-
'[20:48:04.432]',0.315,0.450,1.015,0.323,1.875,80.251,16.314,-
'[20:48:04.440]',0.270,0.485,0.995,0.319,1.919,78.932,16.372,-
'[20:48:04.448]',0.275,0.465,1.015,0.316,1.964,77.809,14.868,-
'[20:48:04.456]',0.240,0.500,1.005,0.311,2.009,77.418,13.745,-
'[20:48:04.464]',0.265,0.470,1.025,0.307,2.056,77.564,14.057,-
'[20:48:04.472]',0.250,0.495,1.005,0.301,2.103,77.223,14.936,-
'[20:48:04.480]',0.245,0.470,1.015,0.295,2.142,76.294,15.181,-
'[20:48:04.488]',0.275,0.490,1.020,0.288,2.177,75.220,14.624,-
'[20:48:04.496]',0.240,0.495,1.005,0.282,2.215,74.683,14.370,-
'[20:48:04.504]',0.260,0.475,1.025,0.275,2.250,74.097,14.936,-
'[20:48:04.512]',0.230,0.500,1.005,0.269,2.285,73.120,15.874,-
'[20:48:04.520]',0.260,0.475,1.020,0.261,2.317,71.947,16.372,-
'[20:48:04.528]',0.240,0.500,1.000,0.253,2.344,71.557,16.314,-
'[20:48:04.536]',0.275,0.470,1.025,0.244,2.370,72.289,16.060,-
'[20:48:04.544]',0.230,0.510,0.995,0.235,2.393,73.168,15.435,-
'[20:48:04.552]',0.260,0.480,1.015,0.226,2.414,72.973,14.438,-
'[20:48:04.560]',0.255,0.495,1.000,0.217,2.434,71.947,13.500,-
'[20:48:04.568]',0.260,0.475,1.005,0.208,2.450,71.117,13.500,-
'[20:48:04.576]',0.235,0.500,0.990,0.199,2.457,71.068,14.751,-
'[20:48:04.584]',0.260,0.475,1.005,0.191,2.460,71.117,16.001,-
'[20:48:04.592]',0.245,0.495,0.985,0.183,2.460,70.482,15.493,-
'[20:48:04.600]',0.270,0.475,1.015,0.176,2.455,69.359,13.188,-
'[20:48:04.608]',0.245,0.495,0.995,0.169,2.444,68.528,10.873,-
'[20:48:04.616]',0.265,0.470,1.015,0.163,2.430,68.431,10.619,-
'[20:48:04.624]',0.230,0.500,0.985,0.157,2.411,68.186,12.748,-
'[20:48:04.632]',0.265,0.475,1.000,0.151,2.385,66.965,15.308,-
'[20:48:04.640]',0.235,0.500,0.975,0.146,2.354,64.914,16.431,-
'[20:48:04.648]',0.280,0.465,0.995,0.141,2.319,63.253,16.060,-
'[20:48:04.656]',0.250,0.495,0.970,0.136,2.282,62.667,14.936,-
'[20:48:04.664]',0.260,0.475,0.995,0.132,2.244,62.716,13.872,-
'[20:48:04.672]',0.235,0.500,0.975,0.129,2.210,62.569,12.934,-
'[20:48:04.680]',0.260,0.475,0.995,0.126,2.182,61.934,12.250,-
'[20:48:04.688]',0.245,0.495,0.985,0.122,2.156,61.495,12.377,-
'[20:48:04.696]',0.240,0.480,0.980,0.120,2.129,61.788,13.373,-
'[20:48:04.704]',0.270,0.470,1.000,0.117,2.103,62.276,14.438,-
'[20:48:04.712]',0.245,0.500,0.985,0.115,2.078,62.179,14.370,-
'[20:48:04.720]',0.270,0.470,1.010,0.114,2.055,61.495,13.305,-
'[20:48:04.728]',0.260,0.485,1.000,0.113,2.031,61.104,12.494,-
'[20:48:04.736]',0.300,0.455,1.020,0.112,2.009,61.299,12.934,-
'[20:48:04.744]',0.265,0.490,0.980,0.111,1.986,61.592,14.057,-
'[20:48:04.752]',0.300,0.450,0.995,0.111,1.964,61.104,14.497,-
'[20:48:04.760]',0.270,0.480,0.955,0.111,1.940,59.883,13.930,-
'[20:48:04.768]',0.310,0.435,0.970,0.111,1.918,58.662,13.373,-
'[20:48:04.776]',0.285,0.455,0.945,0.111,1.898,58.173,13.813,-
'[20:48:04.784]',0.320,0.435,0.970,0.111,1.879,58.173,14.682,-
'[20:48:04.792]',0.280,0.475,0.950,0.111,1.858,58.124,14.497,-
'[20:48:04.800]',0.265,0.465,0.975,0.112,1.839,57.685,12.690,-
'[20:48:04.808]',0.230,0.500,0.965,0.113,1.821,57.343,10.814,-
'[20:48:04.816]',0.245,0.490,1.000,0.113,1.804,57.538,10.687,-
'[20:48:04.824]',0.190,0.535,0.980,0.114,1.788,57.978,12.621,-
'[20:48:04.832]',0.215,0.505,1.000,0.115,1.775,57.880,14.809,-
'[20:48:04.840]',0.195,0.525,0.975,0.116,1.766,57.050,15.308,-
'[20:48:04.848]',0.215,0.505,0.995,0.118,1.758,55.975,14.184,-
'[20:48:04.856]',0.185,0.535,0.975,0.119,1.748,55.633,13.119,-
'[20:48:04.864]',0.205,0.510,0.995,0.122,1.737,55.878,13.188,-
'[20:48:04.872]',0.145,0.555,1.000,0.125,1.726,56.122,13.930,-
'[20:48:04.880]',0.120,0.570,1.070,0.128,1.717,55.878,13.999,-
'[20:48:04.888]',0.200,0.530,1.085,0.132,1.711,55.487,13.432,-
'[20:48:04.896]',0.425,0.385,0.960,0.136,1.700,55.536,13.002,-
'[20:48:04.904]',0.790,0.150,0.720,0.140,1.684,55.926,13.432,-
'[20:48:04.912]',1.210,-0.095,0.470,0.144,1.666,55.536,13.930,-
'[20:48:04.920]',1.320,-0.160,0.395,0.147,1.648,54.070,13.872,-
'[20:48:04.928]',0.935,0.065,0.575,0.151,1.631,52.312,13.373,-
'[20:48:04.936]',0.495,0.340,0.805,0.157,1.617,51.677,13.432,-
'[20:48:04.944]',0.265,0.485,0.925,0.162,1.603,52.068,14.243,-
'[20:48:04.952]',0.180,0.525,0.985,0.169,1.591,52.410,15.063,-
'[20:48:04.960]',0.140,0.550,1.000,0.176,1.580,52.068,14.809,-
'[20:48:04.968]',0.145,0.545,1.020,0.182,1.568,51.482,13.930,-
'[20:48:04.976]',0.105,0.580,0.990,0.189,1.559,51.726,13.500,-
'[20:48:04.984]',0.120,0.565,1.020,0.195,1.553,52.361,13.999,-
'[20:48:04.992]',0.090,0.590,1.000,0.202,1.546,52.507,14.751,-
'[20:48:05.000]',0.105,0.570,1.020,0.208,1.538,51.775,14.682,-
'[20:48:05.008]',0.065,0.600,1.010,0.215,1.527,51.042,14.057,-
'[20:48:05.016]',0.100,0.575,1.030,0.223,1.516,51.042,13.872,-
'[20:48:05.024]',0.065,0.600,1.015,0.230,1.505,51.531,14.438,-
'[20:48:05.032]',0.090,0.575,1.030,0.238,1.496,51.531,15.122,-
'[20:48:05.040]',0.090,0.585,1.020,0.245,1.488,50.602,14.868,-
'[20:48:05.048]',0.105,0.570,1.020,0.252,1.481,49.381,13.999,-
'[20:48:05.056]',0.080,0.595,1.000,0.260,1.475,48.991,13.618,-
'[20:48:05.064]',0.110,0.570,1.020,0.266,1.470,49.626,14.243,-
'[20:48:05.072]',0.075,0.595,1.015,0.272,1.466,50.407,15.063,-
'[20:48:05.080]',0.100,0.575,1.010,0.277,1.464,50.651,15.063,-
'[20:48:05.088]',0.105,0.565,1.025,0.283,1.463,50.407,14.370,-
'[20:48:05.096]',0.075,0.595,1.010,0.287,1.460,50.212,13.999,-
'[20:48:05.104]',0.090,0.575,1.035,0.292,1.456,50.407,14.370,-
'[20:48:05.112]',0.070,0.595,1.010,0.295,1.450,50.651,14.682,-
'[20:48:05.120]',0.115,0.560,1.020,0.299,1.442,50.407,13.930,-
'[20:48:05.128]',0.110,0.575,1.000,0.302,1.432,50.309,12.494,-
'[20:48:05.136]',0.130,0.550,1.020,0.306,1.422,51.531,11.625,-
