'Time','PLETH','II','ABP'
'hh:mm:ss.mmm','NU','mV','mmHg'
'[00:25:05.176 1]',0.608,0.000,60.000
'[00:25:05.184 1]',0.616,-0.008,59.688
'[00:25:05.192 1]',0.616,0.008,59.375
'[00:25:05.200 1]',0.627,0.000,59.062
'[00:25:05.208 1]',0.635,0.008,59.062
'[00:25:05.216 1]',0.643,-0.016,58.750
'[00:25:05.224 1]',0.643,-0.008,58.438
'[00:25:05.232 1]',0.651,-0.008,58.125
'[00:25:05.240 1]',0.651,0.016,57.812
'[00:25:05.248 1]',0.659,0.008,57.500
'[00:25:05.256 1]',0.659,0.024,57.188
'[00:25:05.264 1]',0.659,0.024,56.875
'[00:25:05.272 1]',0.659,0.031,56.562
'[00:25:05.280 1]',0.659,0.016,56.250
'[00:25:05.288 1]',0.659,0.063,55.938
'[00:25:05.296 1]',0.659,0.173,55.625
'[00:25:05.304 1]',0.659,0.370,55.625
'[00:25:05.312 1]',0.651,0.402,55.312
'[00:25:05.320 1]',0.651,0.118,55.000
'[00:25:05.328 1]',0.651,-0.094,54.688
'[00:25:05.336 1]',0.651,-0.134,54.375
'[00:25:05.344 1]',0.651,-0.102,54.062
'[00:25:05.352 1]',0.643,-0.047,54.062
'[00:25:05.360 1]',0.643,-0.031,53.750
'[00:25:05.368 1]',0.643,-0.039,53.438
'[00:25:05.376 1]',0.635,-0.016,53.438
'[00:25:05.384 1]',0.635,-0.016,53.125
'[00:25:05.392 1]',0.627,0.000,52.812
'[00:25:05.400 1]',0.627,0.008,52.812
'[00:25:05.408 1]',0.627,0.008,52.500
'[00:25:05.416 1]',0.616,0.008,52.500
'[00:25:05.424 1]',0.616,0.008,52.188
'[00:25:05.432 1]',0.608,0.008,52.188
'[00:25:05.440 1]',0.608,0.008,51.875
'[00:25:05.448 1]',0.600,0.008,51.875
'[00:25:05.456 1]',0.600,0.008,51.562
'[00:25:05.464 1]',0.600,0.008,51.250
'[00:25:05.472 1]',0.592,0.024,51.250
'[00:25:05.480 1]',0.592,0.008,50.938
'[00:25:05.488 1]',0.584,0.016,50.625
'[00:25:05.496 1]',0.584,0.008,50.625
'[00:25:05.504 1]',0.576,0.008,50.312
'[00:25:05.512 1]',0.576,0.000,50.000
'[00:25:05.520 1]',0.576,0.016,50.000
'[00:25:05.528 1]',0.569,0.008,49.688
'[00:25:05.536 1]',0.569,0.039,49.688
