'Time','II','AVR','V','RESP','PLETH','ABP','CVP','UAP'
'hh:mm:ss.mmm','mV','mV','mV','pm','NU','mmHg','mmHg','mmHg'
'[14:03:09.752]',0.475,0.490,0.495,0.024,2.890,66.623,37.004,110.825
'[14:03:09.760]',0.470,0.495,0.490,0.030,2.930,66.428,37.004,110.825
'[14:03:09.768]',0.485,0.480,0.470,0.035,2.960,66.350,37.004,110.825
'[14:03:09.776]',0.490,0.475,0.455,0.040,2.981,66.232,37.004,110.825
'[14:03:09.784]',0.460,0.500,0.445,0.046,2.995,66.115,37.004,110.825
'[14:03:09.792]',0.445,0.515,0.440,0.050,3.001,65.920,37.004,110.825
'[14:03:09.800]',0.440,0.525,0.445,0.054,2.999,65.724,37.004,110.825
'[14:03:09.808]',0.435,0.520,0.430,0.059,2.991,65.490,37.004,110.825
'[14:03:09.816]',0.435,0.520,0.445,0.064,2.978,65.099,37.004,110.876
'[14:03:09.824]',0.425,0.530,0.430,0.069,2.957,64.748,37.004,110.876
'[14:03:09.832]',0.435,0.530,0.445,0.075,2.932,64.318,37.004,110.825
'[14:03:09.840]',0.440,0.515,0.430,0.082,2.901,63.849,37.004,110.730
'[14:03:09.848]',0.450,0.515,0.440,0.088,2.866,63.380,37.004,110.825
'[14:03:09.856]',0.550,0.490,0.450,0.095,2.825,62.911,37.004,110.825
'[14:03:09.864]',0.795,0.325,0.455,0.102,2.779,62.442,37.004,110.825
'[14:03:09.872]',1.185,0.020,0.365,0.108,2.727,61.856,37.004,110.825
'[14:03:09.880]',1.280,-0.215,0.350,0.115,2.669,61.309,37.004,110.876
'[14:03:09.888]',1.050,-0.245,0.320,0.121,2.603,60.684,37.004,110.876
'[14:03:09.896]',0.375,0.330,0.565,0.128,2.532,60.098,37.004,110.876
'[14:03:09.904]',0.015,0.660,0.700,0.134,2.457,59.551,37.004,110.876
'[14:03:09.912]',0.005,0.715,0.600,0.140,2.380,59.004,37.004,110.876
'[14:03:09.920]',0.180,0.660,0.530,0.147,2.302,58.417,37.004,110.876
'[14:03:09.928]',0.300,0.600,0.465,0.153,2.232,57.909,37.004,110.825
'[14:03:09.936]',0.360,0.585,0.430,0.158,2.167,57.440,37.004,110.825
'[14:03:09.944]',0.375,0.585,0.425,0.164,2.100,56.854,37.004,110.876
'[14:03:09.952]',0.380,0.575,0.420,0.168,2.033,56.425,37.004,110.876
'[14:03:09.960]',0.395,0.570,0.430,0.173,1.971,55.917,37.004,110.825
'[14:03:09.968]',0.400,0.565,0.420,0.178,1.913,55.487,37.004,110.825
'[14:03:09.976]',0.395,0.570,0.415,0.182,1.861,54.979,37.004,110.825
'[14:03:09.984]',0.395,0.575,0.415,0.186,1.815,54.471,37.004,110.876
'[14:03:09.992]',0.400,0.560,0.425,0.191,1.776,54.002,37.004,110.876
'[14:03:10.000]',0.405,0.560,0.420,0.195,1.743,53.533,37.004,110.876
'[14:03:10.008]',0.405,0.560,0.425,0.200,1.715,53.181,37.004,110.876
'[14:03:10.016]',0.410,0.560,0.430,0.204,1.691,52.791,37.004,110.876
'[14:03:10.024]',0.415,0.555,0.420,0.209,1.671,52.478,37.004,110.825
'[14:03:10.032]',0.420,0.550,0.430,0.213,1.656,52.165,37.004,110.825
'[14:03:10.040]',0.415,0.560,0.425,0.217,1.643,51.814,37.004,110.876
'[14:03:10.048]',0.425,0.545,0.430,0.220,1.630,51.501,37.004,110.876
'[14:03:10.056]',0.430,0.540,0.430,0.224,1.616,51.110,37.004,110.876
'[14:03:10.064]',0.435,0.540,0.440,0.227,1.602,50.798,37.004,110.876
'[14:03:10.072]',0.440,0.535,0.435,0.230,1.588,50.563,37.004,110.876
'[14:03:10.080]',0.450,0.530,0.445,0.232,1.574,50.251,37.004,110.927
'[14:03:10.088]',0.450,0.535,0.430,0.235,1.558,49.938,37.004,110.876
'[14:03:10.096]',0.465,0.520,0.445,0.237,1.543,49.665,37.004,110.876
'[14:03:10.104]',0.470,0.515,0.430,0.239,1.526,49.547,37.004,110.876
'[14:03:10.112]',0.495,0.505,0.450,0.241,1.508,49.665,37.004,110.876
'[14:03:10.120]',0.495,0.510,0.445,0.242,1.489,50.602,37.004,110.876
'[14:03:10.128]',0.495,0.505,0.455,0.244,1.473,52.986,37.004,110.825
'[14:03:10.136]',0.515,0.490,0.450,0.245,1.458,57.597,37.004,110.876
'[14:03:10.144]',0.520,0.490,0.470,0.247,1.441,64.435,37.004,110.876
'[14:03:10.152]',0.515,0.490,0.470,0.248,1.422,72.367,37.004,110.825
'[14:03:10.160]',0.525,0.490,0.470,0.249,1.402,79.362,37.004,110.876
'[14:03:10.168]',0.520,0.490,0.465,0.250,1.381,84.246,37.004,110.876
'[14:03:10.176]',0.525,0.480,0.485,0.251,1.360,87.177,37.004,110.876
'[14:03:10.184]',0.510,0.485,0.465,0.252,1.339,89.560,37.004,110.876
'[14:03:10.192]',0.505,0.490,0.465,0.253,1.318,92.413,37.004,110.876
'[14:03:10.200]',0.515,0.480,0.455,0.254,1.296,96.008,37.004,110.876
'[14:03:10.208]',0.505,0.490,0.460,0.255,1.276,99.603,37.004,110.876
'[14:03:10.216]',0.485,0.495,0.465,0.256,1.256,102.611,37.004,110.876
'[14:03:10.224]',0.475,0.505,0.460,0.256,1.242,104.565,37.004,110.876
'[14:03:10.232]',0.485,0.495,0.465,0.257,1.232,105.737,37.004,110.876
'[14:03:10.240]',0.470,0.505,0.460,0.258,1.217,106.558,37.004,110.876
'[14:03:10.248]',0.470,0.505,0.455,0.258,1.201,107.300,37.004,110.876
'[14:03:10.256]',0.460,0.515,0.460,0.258,1.185,108.004,37.004,110.876
'[14:03:10.264]',0.455,0.515,0.470,0.259,1.169,108.512,37.004,110.876
'[14:03:10.272]',0.455,0.520,0.455,0.259,1.154,108.668,37.004,110.876
'[14:03:10.280]',0.460,0.510,0.465,0.259,1.140,108.512,37.004,110.876
'[14:03:10.288]',0.470,0.515,0.455,0.259,1.125,108.043,37.004,110.876
'[14:03:10.296]',0.460,0.505,0.470,0.260,1.111,107.379,37.004,110.876
'[14:03:10.304]',0.455,0.515,0.460,0.260,1.100,106.636,37.004,110.876
'[14:03:10.312]',0.460,0.510,0.465,0.261,1.089,105.698,37.004,110.825
'[14:03:10.320]',0.465,0.505,0.460,0.263,1.078,104.487,37.004,110.876
'[14:03:10.328]',0.460,0.500,0.470,0.265,1.071,103.119,37.004,110.825
'[14:03:10.336]',0.470,0.495,0.455,0.267,1.065,101.556,37.004,110.825
'[14:03:10.344]',0.465,0.500,0.460,0.269,1.056,99.759,37.004,110.825
'[14:03:10.352]',0.470,0.495,0.460,0.271,1.045,97.688,37.004,110.876
'[14:03:10.360]',0.470,0.490,0.470,0.274,1.038,95.422,37.004,110.825
'[14:03:10.368]',0.470,0.490,0.455,0.277,1.040,92.804,37.004,110.825
'[14:03:10.376]',0.470,0.495,0.455,0.281,1.059,89.795,37.004,110.825
'[14:03:10.384]',0.470,0.490,0.450,0.285,1.102,86.630,37.004,110.876
'[14:03:10.392]',0.470,0.495,0.465,0.290,1.176,83.230,37.004,110.876
'[14:03:10.400]',0.470,0.495,0.460,0.295,1.285,79.948,37.004,110.876
'[14:03:10.408]',0.465,0.500,0.455,0.301,1.428,76.978,37.004,110.876
'[14:03:10.416]',0.465,0.495,0.455,0.306,1.596,74.555,37.004,110.876
'[14:03:10.424]',0.465,0.500,0.450,0.312,1.754,72.680,37.004,110.825
'[14:03:10.432]',0.475,0.490,0.465,0.317,1.905,71.312,37.004,110.876
'[14:03:10.440]',0.495,0.475,0.475,0.323,2.073,70.296,37.004,110.876
'[14:03:10.448]',0.505,0.475,0.485,0.330,2.237,69.554,37.004,110.876
'[14:03:10.456]',0.515,0.470,0.480,0.337,2.384,68.850,37.004,110.876
'[14:03:10.464]',0.520,0.465,0.485,0.346,2.514,68.186,37.004,110.876
'[14:03:10.472]',0.510,0.470,0.480,0.354,2.623,67.561,37.004,110.927
'[14:03:10.480]',0.490,0.475,0.515,0.363,2.712,67.053,37.004,110.927
'[14:03:10.488]',0.470,0.490,0.510,0.372,2.783,66.740,37.004,110.927
'[14:03:10.496]',0.470,0.490,0.495,0.381,2.838,66.623,37.004,110.927
'[14:03:10.504]',0.470,0.495,0.485,0.389,2.880,66.545,37.004,110.927
'[14:03:10.512]',0.475,0.490,0.480,0.397,2.910,66.506,37.004,110.927
'[14:03:10.520]',0.460,0.490,0.455,0.404,2.931,66.350,37.004,110.927
'[14:03:10.528]',0.445,0.505,0.450,0.411,2.939,66.193,37.004,110.876
'[14:03:10.536]',0.440,0.520,0.445,0.418,2.938,65.998,37.004,110.876
'[14:03:10.544]',0.445,0.515,0.455,0.425,2.935,65.803,37.004,110.876
