'Time','II','PLETH','ABP'
'hh:mm:ss.mmm','mV','NU','mmHg'
'[12:32:21.000]',-,-,-
'[12:32:21.008]',-,-,-
'[12:32:21.016]',-,-,-
'[12:32:21.024]',-,-,-
'[12:32:21.032]',-,-,-
'[12:32:21.040]',-,-,-
'[12:32:21.048]',-,-,-
'[12:32:21.056]',-,-,-
'[12:32:21.064]',-,-,-
'[12:32:21.072]',-,-,-
'[12:32:21.080]',-,-,-
'[12:32:21.088]',-,-,-
'[12:32:21.096]',-,-,-
'[12:32:21.104]',-,-,-
'[12:32:21.112]',-,-,-
'[12:32:21.120]',-,-,-
'[12:32:21.128]',-,-,-
'[12:32:21.136]',-,-,-
'[12:32:21.144]',-,-,-
'[12:32:21.152]',-,-,-
'[12:32:21.160]',-,-,-
'[12:32:21.168]',-,-,-
'[12:32:21.176]',-,-,-
'[12:32:21.184]',-,-,-
'[12:32:21.192]',-,-,-
'[12:32:21.200]',-,-,-
'[12:32:21.208]',-,-,-
'[12:32:21.216]',-,-,-
'[12:32:21.224]',-,-,-
'[12:32:21.232]',-,-,-
'[12:32:21.240]',-,-,-
'[12:32:21.248]',-,-,-
'[12:32:21.256]',-,-,-
'[12:32:21.264]',-,-,-
'[12:32:21.272]',-,-,-
'[12:32:21.280]',-,-,-
'[12:32:21.288]',-,-,-
'[12:32:21.296]',-,-,-
'[12:32:21.304]',-,-,-
'[12:32:21.312]',-,-,-
'[12:32:21.320]',-,-,-
'[12:32:21.328]',-,-,-
'[12:32:21.336]',-,-,-
'[12:32:21.344]',-,-,-
'[12:32:21.352]',-,-,-
'[12:32:21.360]',-,-,-
'[12:32:21.368]',-,-,-
'[12:32:21.376]',-,-,-
'[12:32:21.384]',-,-,-
'[12:32:21.392]',-,-,-
'[12:32:21.400]',-,-,-
'[12:32:21.408]',-,-,-
'[12:32:21.416]',-,-,-
'[12:32:21.424]',-,-,-
'[12:32:21.432]',-,-,-
'[12:32:21.440]',-,-,-
'[12:32:21.448]',-,-,-
'[12:32:21.456]',-,-,-
'[12:32:21.464]',-,-,-
'[12:32:21.472]',-,-,-
'[12:32:21.480]',-,-,-
'[12:32:21.488]',-,-,-
'[12:32:21.496]',-,-,-
'[12:32:21.504]',-,-,-
'[12:32:21.512]',-,-,-
'[12:32:21.520]',-,-,-
'[12:32:21.528]',-,-,-
'[12:32:21.536]',-,-,-
'[12:32:21.544]',-,-,-
'[12:32:21.552]',-,-,-
'[12:32:21.560]',-,-,-
'[12:32:21.568]',-,-,-
'[12:32:21.576]',-,-,-
'[12:32:21.584]',-,-,-
'[12:32:21.592]',-,-,-
'[12:32:21.600]',-,-,-
'[12:32:21.608]',-,-,-
'[12:32:21.616]',-,-,-
'[12:32:21.624]',-,-,-
'[12:32:21.632]',-,-,-
'[12:32:21.640]',-,-,-
'[12:32:21.648]',-,-,-
'[12:32:21.656]',-,-,-
'[12:32:21.664]',-,-,-
'[12:32:21.672]',-,-,-
'[12:32:21.680]',-,-,-
