'Time','II','ABP','PLETH','III'
'hh:mm:ss.mmm','mV','mmHg','NU','mV'
'[16:38:40.000]',0.404,49.687,0.588,-
'[16:38:40.008]',0.416,48.750,0.584,-
'[16:38:40.016]',0.420,48.750,0.576,-
'[16:38:40.024]',0.416,47.812,0.565,-
'[16:38:40.032]',0.416,47.812,0.553,-
'[16:38:40.040]',0.424,46.875,0.537,-
'[16:38:40.048]',0.431,45.937,0.522,-
'[16:38:40.056]',0.435,45.937,0.506,-
'[16:38:40.064]',0.435,45.000,0.486,-
'[16:38:40.072]',0.439,45.000,0.471,-
'[16:38:40.080]',0.443,45.000,0.459,-
'[16:38:40.088]',0.451,44.062,0.447,-
'[16:38:40.096]',0.459,44.062,0.435,-
'[16:38:40.104]',0.467,44.062,0.427,-
'[16:38:40.112]',0.467,44.062,0.420,-
'[16:38:40.120]',0.467,45.937,0.412,-
'[16:38:40.128]',0.471,49.687,0.408,-
'[16:38:40.136]',0.486,55.312,0.400,-
'[16:38:40.144]',0.490,63.750,0.396,-
'[16:38:40.152]',0.490,73.125,0.388,-
'[16:38:40.160]',0.498,82.500,0.384,-
'[16:38:40.168]',0.498,90.937,0.376,-
'[16:38:40.176]',0.506,97.500,0.373,-
'[16:38:40.184]',0.506,103.125,0.369,-
'[16:38:40.192]',0.498,106.875,0.365,-
'[16:38:40.200]',0.498,108.750,0.357,-
'[16:38:40.208]',0.494,109.687,0.357,-
'[16:38:40.216]',0.490,109.687,0.353,-
'[16:38:40.224]',0.490,107.812,0.353,-
'[16:38:40.232]',0.478,105.937,0.353,-
'[16:38:40.240]',0.478,103.125,0.353,-
'[16:38:40.248]',0.475,101.250,0.353,-
'[16:38:40.256]',0.471,98.437,0.353,-
'[16:38:40.264]',0.471,95.625,0.349,-
'[16:38:40.272]',0.471,93.750,0.349,-
'[16:38:40.280]',0.459,91.875,0.345,-
'[16:38:40.288]',0.459,90.000,0.341,-
'[16:38:40.296]',0.459,89.062,0.337,-
'[16:38:40.304]',0.459,87.187,0.329,-
'[16:38:40.312]',0.467,85.312,0.322,-
'[16:38:40.320]',0.467,84.375,0.314,-
'[16:38:40.328]',0.459,82.500,0.306,-
'[16:38:40.336]',0.451,80.625,0.298,-
'[16:38:40.344]',0.455,78.750,0.290,-
'[16:38:40.352]',0.471,76.875,0.282,-
'[16:38:40.360]',0.475,74.062,0.278,-
'[16:38:40.368]',0.471,72.187,0.278,-
'[16:38:40.376]',0.478,69.375,0.278,-
'[16:38:40.384]',0.490,67.500,0.278,-
'[16:38:40.392]',0.494,64.687,0.282,-
'[16:38:40.400]',0.498,61.875,0.286,-
'[16:38:40.408]',0.514,60.000,0.290,-
'[16:38:40.416]',0.510,58.125,0.298,-
'[16:38:40.424]',0.490,56.250,0.310,-
'[16:38:40.432]',0.455,55.312,0.322,-
'[16:38:40.440]',0.416,54.375,0.337,-
'[16:38:40.448]',0.380,53.437,0.361,-
'[16:38:40.456]',0.369,53.437,0.384,-
'[16:38:40.464]',0.369,52.500,0.412,-
'[16:38:40.472]',0.361,52.500,0.439,-
'[16:38:40.480]',0.365,52.500,0.471,-
'[16:38:40.488]',0.373,52.500,0.498,-
'[16:38:40.496]',0.365,52.500,0.533,-
'[16:38:40.504]',0.369,53.437,0.576,-
'[16:38:40.512]',0.431,53.437,0.616,-
'[16:38:40.520]',0.576,52.500,0.655,-
'[16:38:40.528]',0.757,52.500,0.694,-
'[16:38:40.536]',0.816,52.500,0.725,-
'[16:38:40.544]',0.780,52.500,0.753,-
'[16:38:40.552]',0.729,52.500,0.776,-
'[16:38:40.560]',0.659,52.500,0.796,-
'[16:38:40.568]',0.569,51.562,0.812,-
'[16:38:40.576]',0.486,51.562,0.824,-
'[16:38:40.584]',0.424,50.625,0.835,-
'[16:38:40.592]',0.388,50.625,0.851,-
'[16:38:40.600]',0.380,49.687,0.867,-
'[16:38:40.608]',0.373,49.687,0.882,-
'[16:38:40.616]',0.369,49.687,0.894,-
'[16:38:40.624]',0.369,48.750,0.906,-
'[16:38:40.632]',0.373,48.750,0.914,-
'[16:38:40.640]',0.380,47.812,0.918,-
'[16:38:40.648]',0.365,47.812,0.925,-
'[16:38:40.656]',0.373,46.875,0.925,-
'[16:38:40.664]',0.396,46.875,0.929,-
'[16:38:40.672]',0.388,45.937,0.933,-
'[16:38:40.680]',0.384,45.937,0.929,-
'[16:38:40.688]',0.396,45.000,0.925,-
'[16:38:40.696]',0.396,45.000,0.922,-
'[16:38:40.704]',0.384,44.062,0.910,-
'[16:38:40.712]',0.396,44.062,0.894,-
