'Time','I','II','III','AVR','V','RESP','PLETH','ABP','CVP','IC1','ICP'
'hh:mm:ss.mmm','mV','mV','mV','mV','mV','pm','NU','mmHg','mmHg','unknown','mmHg'
'[15:26:41.144]',-,0.475,-,0.650,0.910,0.434,2.267,78.307,-,6.623,-
'[15:26:41.152]',-,0.630,-,0.480,0.615,0.425,2.265,77.721,-,6.623,-
'[15:26:41.160]',-,0.595,-,0.450,0.450,0.417,2.258,77.193,-,6.623,-
'[15:26:41.168]',-,0.460,-,0.670,0.345,0.408,2.248,76.666,-,6.682,-
'[15:26:41.176]',-,0.345,-,0.735,0.630,0.400,2.237,76.197,-,6.750,-
'[15:26:41.184]',-,0.335,-,0.750,0.820,0.392,2.225,75.669,-,6.867,-
'[15:26:41.192]',-,0.330,-,0.760,0.945,0.384,2.210,75.200,-,6.994,-
'[15:26:41.200]',-,0.320,-,0.780,0.980,0.376,2.193,74.790,-,7.121,-
'[15:26:41.208]',-,0.315,-,0.785,1.000,0.370,2.178,74.438,-,7.307,-
'[15:26:41.216]',-,0.320,-,0.780,0.995,0.364,2.164,74.028,-,7.561,-
'[15:26:41.224]',-,0.325,-,0.775,1.015,0.358,2.152,73.676,-,7.747,-
'[15:26:41.232]',-,0.330,-,0.775,0.995,0.353,2.142,73.325,-,7.932,-
'[15:26:41.240]',-,0.325,-,0.780,1.020,0.347,2.134,72.914,-,8.118,-
'[15:26:41.248]',-,0.330,-,0.770,1.000,0.343,2.123,72.504,-,8.245,-
'[15:26:41.256]',-,0.330,-,0.775,1.015,0.338,2.115,72.035,-,8.372,-
'[15:26:41.264]',-,0.335,-,0.765,1.005,0.335,2.105,71.625,-,8.499,-
'[15:26:41.272]',-,0.330,-,0.775,1.015,0.331,2.094,71.097,-,8.557,-
'[15:26:41.280]',-,0.335,-,0.765,1.000,0.328,2.085,70.629,-,8.626,-
'[15:26:41.288]',-,0.330,-,0.775,1.020,0.326,2.074,70.101,-,8.626,-
'[15:26:41.296]',-,0.340,-,0.765,1.000,0.323,2.065,69.573,-,8.626,-
'[15:26:41.304]',-,0.330,-,0.775,1.010,0.320,2.062,68.987,-,8.499,-
'[15:26:41.312]',-,0.345,-,0.760,0.995,0.318,2.056,68.343,-,8.430,-
'[15:26:41.320]',-,0.340,-,0.770,1.010,0.315,2.047,67.874,-,8.313,-
'[15:26:41.328]',-,0.345,-,0.765,0.995,0.314,2.039,67.346,-,8.186,-
'[15:26:41.336]',-,0.340,-,0.775,1.010,0.312,2.029,66.936,-,8.001,-
'[15:26:41.344]',-,0.350,-,0.770,0.995,0.312,2.019,66.467,-,7.805,-
'[15:26:41.352]',-,0.340,-,0.780,1.000,0.311,2.010,66.174,-,7.688,-
'[15:26:41.360]',-,0.355,-,0.765,0.995,0.311,1.999,66.115,-,7.688,-
'[15:26:41.368]',-,0.355,-,0.775,1.015,0.310,1.987,66.584,-,7.805,-
'[15:26:41.376]',-,0.365,-,0.765,0.995,0.310,1.972,68.401,-,8.059,-
'[15:26:41.384]',-,0.365,-,0.775,1.000,0.309,1.952,72.270,-,8.372,-
'[15:26:41.392]',-,0.370,-,0.765,1.010,0.308,1.930,78.541,-,8.684,-
'[15:26:41.400]',-,0.375,-,0.775,0.995,0.307,1.909,86.630,-,9.056,-
'[15:26:41.408]',-,0.390,-,0.760,1.010,0.306,1.890,95.011,-,9.310,-
'[15:26:41.416]',-,0.400,-,0.765,0.990,0.305,1.873,102.221,-,9.437,-
'[15:26:41.424]',-,0.410,-,0.770,0.995,0.303,1.865,107.789,-,9.495,-
'[15:26:41.432]',-,0.420,-,0.775,0.970,0.301,1.857,111.716,-,9.437,-
'[15:26:41.440]',-,0.415,-,0.785,0.975,0.300,1.848,114.764,-,9.368,-
'[15:26:41.448]',-,0.445,-,0.775,0.960,0.298,1.837,117.167,-,9.368,-
'[15:26:41.456]',-,0.445,-,0.790,0.965,0.294,1.825,119.277,-,9.437,-
'[15:26:41.464]',-,0.455,-,0.780,0.930,0.291,1.812,121.387,-,9.564,-
'[15:26:41.472]',-,0.445,-,0.800,0.940,0.287,1.801,123.556,-,9.681,-
'[15:26:41.480]',-,0.450,-,0.795,0.925,0.283,1.792,125.666,-,9.749,-
'[15:26:41.488]',-,0.440,-,0.805,0.930,0.277,1.787,127.659,-,9.749,-
'[15:26:41.496]',-,0.445,-,0.800,0.915,0.272,1.782,129.300,-,9.681,-
'[15:26:41.504]',-,0.430,-,0.805,0.940,0.265,1.776,130.472,-,9.622,-
'[15:26:41.512]',-,0.425,-,0.800,0.925,0.259,1.773,131.293,-,9.495,-
'[15:26:41.520]',-,0.405,-,0.805,0.945,0.254,1.768,131.938,-,9.368,-
'[15:26:41.528]',-,0.400,-,0.795,0.935,0.248,1.766,132.348,-,9.251,-
'[15:26:41.536]',-,0.390,-,0.800,0.960,0.244,1.771,132.817,-,9.056,-
'[15:26:41.544]',-,0.390,-,0.785,0.955,0.239,1.777,133.227,-,8.938,-
'[15:26:41.552]',-,0.375,-,0.790,0.970,0.234,1.780,133.696,-,8.811,-
'[15:26:41.560]',-,0.380,-,0.770,0.975,0.229,1.781,134.106,-,8.684,-
'[15:26:41.568]',-,0.375,-,0.775,0.960,0.224,1.782,134.341,-,8.626,-
'[15:26:41.576]',-,0.385,-,0.755,0.980,0.219,1.779,134.517,-,8.626,-
'[15:26:41.584]',-,0.380,-,0.755,0.975,0.214,1.771,134.223,-,8.626,-
'[15:26:41.592]',-,0.390,-,0.740,0.985,0.210,1.761,133.637,-,8.626,-
'[15:26:41.600]',-,0.385,-,0.735,0.975,0.206,1.750,132.641,-,8.557,-
'[15:26:41.608]',-,0.395,-,0.745,0.990,0.202,1.738,131.176,-,8.557,-
'[15:26:41.616]',-,0.400,-,0.730,0.975,0.199,1.726,129.241,-,8.499,-
'[15:26:41.624]',-,0.405,-,0.725,0.990,0.195,1.720,126.780,-,8.430,-
'[15:26:41.632]',-,0.410,-,0.720,0.975,0.192,1.720,123.673,-,8.245,-
'[15:26:41.640]',-,0.405,-,0.710,0.985,0.188,1.720,119.981,-,8.059,-
'[15:26:41.648]',-,0.425,-,0.705,0.965,0.186,1.723,115.585,-,7.874,-
'[15:26:41.656]',-,0.415,-,0.710,0.975,0.183,1.731,110.778,-,7.688,-
'[15:26:41.664]',-,0.425,-,0.705,0.955,0.182,1.741,105.855,-,7.493,-
'[15:26:41.672]',-,0.420,-,0.710,0.960,0.180,1.756,101.166,-,7.375,-
'[15:26:41.680]',-,0.425,-,0.695,0.940,0.179,1.772,97.473,-,7.375,-
'[15:26:41.688]',-,0.415,-,0.705,0.950,0.178,1.790,95.129,-,7.434,-
'[15:26:41.696]',-,0.425,-,0.695,0.935,0.178,1.807,94.132,-,7.493,-
'[15:26:41.704]',-,0.410,-,0.705,0.950,0.178,1.826,94.015,-,7.620,-
'[15:26:41.712]',-,0.415,-,0.700,0.935,0.178,1.848,94.308,-,7.747,-
'[15:26:41.720]',-,0.405,-,0.705,0.955,0.178,1.868,94.484,-,7.747,-
'[15:26:41.728]',-,0.415,-,0.695,0.945,0.178,1.885,94.425,-,7.688,-
'[15:26:41.736]',-,0.410,-,0.705,0.960,0.178,1.902,94.015,-,7.620,-
'[15:26:41.744]',-,0.420,-,0.695,0.945,0.179,1.924,93.253,-,7.620,-
'[15:26:41.752]',-,0.425,-,0.690,0.965,0.179,1.946,92.315,-,7.561,-
'[15:26:41.760]',-,0.460,-,0.665,0.960,0.180,1.971,91.377,-,7.561,-
'[15:26:41.768]',-,0.470,-,0.665,0.975,0.180,1.995,90.440,-,7.620,-
'[15:26:41.776]',-,0.490,-,0.645,0.955,0.181,2.020,89.795,-,7.620,-
'[15:26:41.784]',-,0.490,-,0.655,0.915,0.182,2.048,89.326,-,7.620,-
'[15:26:41.792]',-,0.495,-,0.650,0.885,0.183,2.077,88.974,-,7.620,-
'[15:26:41.800]',-,0.465,-,0.665,0.875,0.183,2.105,88.740,-,7.561,-
'[15:26:41.808]',-,0.485,-,0.645,0.895,0.183,2.131,88.447,-,7.434,-
'[15:26:41.816]',-,0.490,-,0.660,0.880,0.184,2.153,87.919,-,7.307,-
'[15:26:41.824]',-,0.460,-,0.665,0.900,0.184,2.171,87.275,-,7.180,-
'[15:26:41.832]',-,0.430,-,0.685,0.895,0.184,2.183,86.571,-,6.994,-
'[15:26:41.840]',-,0.405,-,0.705,0.930,0.184,2.192,85.692,-,6.867,-
'[15:26:41.848]',-,0.390,-,0.725,0.925,0.184,2.202,84.696,-,6.750,-
'[15:26:41.856]',-,0.375,-,0.735,0.950,0.184,2.214,83.699,-,6.623,-
'[15:26:41.864]',-,0.365,-,0.730,0.945,0.185,2.226,82.644,-,6.555,-
'[15:26:41.872]',-,0.360,-,0.745,0.965,0.185,2.239,81.824,-,6.496,-
'[15:26:41.880]',-,0.365,-,0.735,0.950,0.185,2.251,80.944,-,6.438,-
'[15:26:41.888]',-,0.360,-,0.745,0.965,0.184,2.257,80.182,-,6.369,-
'[15:26:41.896]',-,0.380,-,0.735,0.950,0.184,2.260,79.479,-,6.369,-
'[15:26:41.904]',-,0.395,-,0.750,1.020,0.183,2.262,78.834,-,6.311,-
'[15:26:41.912]',-,0.455,-,0.675,1.030,0.183,2.256,78.248,-,6.311,-
'[15:26:41.920]',-,0.600,-,0.515,0.690,0.182,2.247,77.662,-,6.369,-
'[15:26:41.928]',-,0.635,-,0.445,0.500,0.182,2.237,77.135,-,6.369,-
'[15:26:41.936]',-,0.485,-,0.635,0.345,0.181,2.225,76.548,-,6.369,-
'[15:26:41.944]',-,0.340,-,0.730,0.550,0.181,2.213,75.962,-,6.496,-
'[15:26:41.952]',-,0.320,-,0.750,0.785,0.181,2.200,75.552,-,6.555,-
'[15:26:41.960]',-,0.340,-,0.755,0.915,0.181,2.188,75.083,-,6.682,-
'[15:26:41.968]',-,0.315,-,0.775,0.985,0.182,2.179,74.731,-,6.809,-
'[15:26:41.976]',-,0.325,-,0.775,1.000,0.183,2.171,74.380,-,6.867,-
'[15:26:41.984]',-,0.320,-,0.780,0.995,0.184,2.161,73.969,-,6.994,-
'[15:26:41.992]',-,0.325,-,0.770,1.015,0.186,2.150,73.618,-,7.180,-
'[15:26:42.000]',-,0.330,-,0.775,0.995,0.187,2.141,73.207,-,7.307,-
'[15:26:42.008]',-,0.325,-,0.770,1.020,0.188,2.130,72.797,-,7.493,-
'[15:26:42.016]',-,0.330,-,0.775,1.010,0.189,2.118,72.387,-,7.688,-
'[15:26:42.024]',-,0.335,-,0.765,1.020,0.191,2.112,71.918,-,7.874,-
'[15:26:42.032]',-,0.340,-,0.760,0.995,0.192,2.109,71.508,-,8.059,-
'[15:26:42.040]',-,0.335,-,0.765,1.015,0.194,2.105,70.980,-,8.118,-
'[15:26:42.048]',-,0.350,-,0.755,1.000,0.196,2.097,70.511,-,8.186,-
'[15:26:42.056]',-,0.340,-,0.765,1.010,0.198,2.086,69.984,-,8.186,-
'[15:26:42.064]',-,0.345,-,0.760,0.990,0.200,2.074,69.398,-,8.118,-
