'Time','I','II','III','AVR','V','MCL','RESP','PLETH','ABP'
'hh:mm:ss.mmm','mV','mV','mV','mV','mV','mV','pm','NU','mmHg'
'[16:10:51.104]',-,0.490,-,0.490,0.320,-,-,0.318,-
'[16:10:51.112]',-,0.515,-,0.466,0.324,-,-,0.311,-
'[16:10:51.120]',-,0.520,-,0.461,0.324,-,-,0.305,-
'[16:10:51.128]',-,0.510,-,0.466,0.320,-,-,0.299,-
'[16:10:51.136]',-,0.515,-,0.471,0.320,-,-,0.294,-
'[16:10:51.144]',-,0.520,-,0.461,0.324,-,-,0.290,-
'[16:10:51.152]',-,0.515,-,0.466,0.314,-,-,0.288,-
'[16:10:51.160]',-,0.505,-,0.480,0.314,-,-,0.286,-
'[16:10:51.168]',-,0.500,-,0.490,0.314,-,-,0.284,-
'[16:10:51.176]',-,0.495,-,0.490,0.304,-,-,0.283,-
'[16:10:51.184]',-,0.505,-,0.476,0.304,-,-,0.281,-
'[16:10:51.192]',-,0.515,-,0.471,0.310,-,-,0.279,-
'[16:10:51.200]',-,0.510,-,0.480,0.310,-,-,0.277,-
'[16:10:51.208]',-,0.500,-,0.490,0.304,-,-,0.275,-
'[16:10:51.216]',-,0.515,-,0.466,0.304,-,-,0.273,-
'[16:10:51.224]',-,0.535,-,0.449,0.310,-,-,0.271,-
'[16:10:51.232]',-,0.535,-,0.449,0.314,-,-,0.270,-
'[16:10:51.240]',-,0.530,-,0.461,0.314,-,-,0.268,-
'[16:10:51.248]',-,0.500,-,0.490,0.304,-,-,0.266,-
'[16:10:51.256]',-,0.465,-,0.520,0.290,-,-,0.265,-
'[16:10:51.264]',-,0.450,-,0.524,0.284,-,-,0.263,-
'[16:10:51.272]',-,0.450,-,0.529,0.284,-,-,0.261,-
'[16:10:51.280]',-,0.455,-,0.515,0.284,-,-,0.260,-
'[16:10:51.288]',-,0.445,-,0.524,0.290,-,-,0.258,-
'[16:10:51.296]',-,0.415,-,0.561,0.275,-,-,0.256,-
'[16:10:51.304]',-,0.400,-,0.575,0.269,-,-,0.254,-
'[16:10:51.312]',-,0.405,-,0.566,0.275,-,-,0.253,-
'[16:10:51.320]',-,0.415,-,0.556,0.284,-,-,0.251,-
'[16:10:51.328]',-,0.425,-,0.556,0.284,-,-,0.250,-
'[16:10:51.336]',-,0.430,-,0.556,0.290,-,-,0.248,-
'[16:10:51.344]',-,0.435,-,0.551,0.300,-,-,0.247,-
'[16:10:51.352]',-,0.450,-,0.539,0.304,-,-,0.247,-
'[16:10:51.360]',-,0.475,-,0.515,0.324,-,-,0.248,-
'[16:10:51.368]',-,0.485,-,0.515,0.345,-,-,0.248,-
'[16:10:51.376]',-,0.490,-,0.510,0.359,-,-,0.247,-
'[16:10:51.384]',-,0.505,-,0.490,0.375,-,-,0.246,-
'[16:10:51.392]',-,0.515,-,0.480,0.384,-,-,0.246,-
'[16:10:51.400]',-,0.520,-,0.480,0.390,-,-,0.245,-
'[16:10:51.408]',-,0.510,-,0.485,0.390,-,-,0.245,-
'[16:10:51.416]',-,0.515,-,0.490,0.384,-,-,0.245,-
'[16:10:51.424]',-,0.555,-,0.439,0.394,-,-,0.245,-
'[16:10:51.432]',-,0.580,-,0.420,0.404,-,-,0.245,-
'[16:10:51.440]',-,0.550,-,0.454,0.384,-,-,0.246,-
'[16:10:51.448]',-,0.505,-,0.505,0.365,-,-,0.247,-
'[16:10:51.456]',-,0.500,-,0.510,0.365,-,-,0.248,-
'[16:10:51.464]',-,0.530,-,0.476,0.375,-,-,0.248,-
'[16:10:51.472]',-,0.540,-,0.461,0.375,-,-,0.248,-
'[16:10:51.480]',-,0.545,-,0.454,0.380,-,-,0.247,-
'[16:10:51.488]',-,0.545,-,0.454,0.380,-,-,0.246,-
'[16:10:51.496]',-,0.545,-,0.461,0.380,-,-,0.245,-
'[16:10:51.504]',-,0.550,-,0.454,0.380,-,-,0.245,-
'[16:10:51.512]',-,0.555,-,0.454,0.384,-,-,0.247,-
'[16:10:51.520]',-,0.535,-,0.471,0.380,-,-,0.252,-
'[16:10:51.528]',-,0.530,-,0.476,0.380,-,-,0.260,-
'[16:10:51.536]',-,0.535,-,0.466,0.380,-,-,0.272,-
'[16:10:51.544]',-,0.530,-,0.476,0.384,-,-,0.287,-
'[16:10:51.552]',-,0.520,-,0.485,0.375,-,-,0.304,-
'[16:10:51.560]',-,0.520,-,0.476,0.375,-,-,0.321,-
'[16:10:51.568]',-,0.535,-,0.454,0.375,-,-,0.339,-
'[16:10:51.576]',-,0.545,-,0.449,0.380,-,-,0.360,-
'[16:10:51.584]',-,0.545,-,0.454,0.384,-,-,0.380,-
'[16:10:51.592]',-,0.535,-,0.466,0.375,-,-,0.399,-
'[16:10:51.600]',-,0.510,-,0.485,0.371,-,-,0.416,-
'[16:10:51.608]',-,0.505,-,0.495,0.371,-,-,0.432,-
'[16:10:51.616]',-,0.515,-,0.490,0.375,-,-,0.447,-
