'Time','II','III','AVR','V','RESP','PLETH','ABP','CVP'
'hh:mm:ss.mmm','mV','mV','mV','mV','pm','NU','mmHg','mmHg'
'[17:51:26.768]',0.140,-,0.745,0.890,0.484,1.275,59.443,9.681
'[17:51:26.776]',0.109,-,0.760,0.870,0.480,1.275,57.245,9.681
'[17:51:26.784]',0.100,-,0.755,0.850,0.475,1.294,55.340,9.681
'[17:51:26.792]',0.095,-,0.760,0.835,0.468,1.339,53.875,9.681
'[17:51:26.800]',0.080,-,0.770,0.825,0.462,1.414,52.752,9.681
'[17:51:26.808]',0.095,-,0.765,0.830,0.454,1.524,52.068,9.681
'[17:51:26.816]',0.100,-,0.770,0.825,0.447,1.665,51.775,9.622
'[17:51:26.824]',0.075,-,0.805,0.840,0.439,1.806,51.872,9.564
'[17:51:26.832]',0.080,-,0.800,0.830,0.432,1.953,52.166,9.564
'[17:51:26.840]',0.060,-,0.805,0.830,0.424,2.130,52.752,9.564
'[17:51:26.848]',0.065,-,0.810,0.815,0.417,2.318,53.484,9.564
'[17:51:26.856]',0.050,-,0.810,0.820,0.406,2.502,54.412,9.622
'[17:51:26.864]',0.055,-,0.800,0.815,0.396,2.673,55.438,9.681
'[17:51:26.872]',0.050,-,0.805,0.835,0.384,2.823,56.464,9.808
'[17:51:26.880]',0.044,-,0.820,0.825,0.372,2.949,57.490,9.935
'[17:51:26.888]',0.055,-,0.825,0.830,0.359,3.049,58.369,10.189
'[17:51:26.896]',0.040,-,0.815,0.835,0.347,3.122,59.150,10.501
'[17:51:26.904]',0.055,-,0.820,0.830,0.334,3.170,59.736,10.814
'[17:51:26.912]',0.075,-,0.790,0.840,0.321,3.195,60.176,11.127
'[17:51:26.920]',0.065,-,0.810,0.850,0.305,3.197,60.420,11.312
'[17:51:26.928]',0.109,-,0.785,0.875,0.291,3.185,60.616,11.371
'[17:51:26.936]',0.285,-,0.635,0.930,0.274,3.161,60.616,11.439
'[17:51:26.944]',0.640,-,0.285,1.035,0.258,3.128,60.567,11.371
'[17:51:26.952]',0.976,-,-0.050,0.960,0.239,3.085,60.322,11.371
'[17:51:26.960]',1.010,-,-0.070,0.750,0.222,3.036,59.981,11.312
'[17:51:26.968]',0.240,-,0.610,0.570,0.203,2.980,59.443,11.244
'[17:51:26.976]',-0.015,-,0.835,0.565,0.184,2.918,58.759,11.127
'[17:51:26.984]',-0.025,-,0.855,0.775,0.167,2.851,57.929,10.931
'[17:51:26.992]',-0.021,-,0.875,0.840,0.150,2.780,57.099,10.746
'[17:51:27.000]',-0.005,-,0.860,0.850,0.134,2.706,56.366,10.560
'[17:51:27.008]',-0.000,-,0.865,0.860,0.118,2.630,55.682,10.433
'[17:51:27.016]',-0.005,-,0.870,0.855,0.101,2.551,55.047,10.306
'[17:51:27.024]',0.015,-,0.855,0.870,0.086,2.479,54.412,10.247
'[17:51:27.032]',0.030,-,0.835,0.870,0.069,2.410,53.875,10.247
'[17:51:27.040]',0.024,-,0.840,0.875,0.053,2.334,53.240,10.247
'[17:51:27.048]',0.030,-,0.845,0.875,0.038,2.257,52.556,10.247
'[17:51:27.056]',0.004,-,0.850,0.870,0.024,2.181,51.921,10.247
'[17:51:27.064]',0.050,-,0.815,0.870,0.011,2.107,51.237,10.247
'[17:51:27.072]',0.044,-,0.820,0.880,-0.002,2.035,50.554,10.306
'[17:51:27.080]',0.065,-,0.805,0.875,-0.014,1.967,49.919,10.374
'[17:51:27.088]',0.075,-,0.800,0.885,-0.026,1.904,49.284,10.501
'[17:51:27.096]',0.075,-,0.810,0.880,-0.038,1.848,48.698,10.619
'[17:51:27.104]',0.065,-,0.815,0.890,-0.049,1.801,48.063,10.746
'[17:51:27.112]',0.105,-,0.775,0.890,-0.060,1.760,47.428,10.746
'[17:51:27.120]',0.130,-,0.765,0.905,-0.071,1.729,46.793,10.687
'[17:51:27.128]',0.175,-,0.730,0.920,-0.081,1.707,46.304,10.433
'[17:51:27.136]',0.195,-,0.715,0.935,-0.090,1.689,45.865,10.120
'[17:51:27.144]',0.215,-,0.685,0.930,-0.098,1.677,45.425,9.749
'[17:51:27.152]',0.255,-,0.650,0.945,-0.105,1.671,45.034,9.368
'[17:51:27.160]',0.285,-,0.620,0.955,-0.111,1.669,44.692,8.997
'[17:51:27.168]',0.300,-,0.605,0.945,-0.117,1.671,44.497,8.743
'[17:51:27.176]',0.295,-,0.595,0.965,-0.121,1.674,44.692,8.557
'[17:51:27.184]',0.315,-,0.610,0.960,-0.125,1.679,45.620,8.499
'[17:51:27.192]',0.300,-,0.625,0.970,-0.128,1.684,47.916,8.499
'[17:51:27.200]',0.315,-,0.615,0.965,-0.131,1.688,52.312,8.626
'[17:51:27.208]',0.295,-,0.630,0.970,-0.133,1.689,59.346,8.743
'[17:51:27.216]',0.265,-,0.650,0.945,-0.136,1.688,69.261,8.870
'[17:51:27.224]',0.255,-,0.650,0.935,-0.137,1.686,81.179,9.124
'[17:51:27.232]',0.235,-,0.660,0.920,-0.139,1.683,93.683,9.310
'[17:51:27.240]',0.210,-,0.680,0.910,-0.142,1.676,105.161,9.564
'[17:51:27.248]',0.195,-,0.700,0.900,-0.144,1.666,114.686,9.749
'[17:51:27.256]',0.160,-,0.740,0.895,-0.146,1.652,121.720,9.808
'[17:51:27.264]',0.145,-,0.765,0.890,-0.148,1.636,126.506,9.808
'[17:51:27.272]',0.135,-,0.770,0.895,-0.151,1.619,128.997,9.681
'[17:51:27.280]',0.150,-,0.740,0.875,-0.155,1.599,129.290,9.495
'[17:51:27.288]',0.145,-,0.735,0.880,-0.158,1.580,127.874,9.368
'[17:51:27.296]',0.125,-,0.765,0.875,-0.161,1.559,125.041,9.251
'[17:51:27.304]',0.125,-,0.770,0.875,-0.164,1.537,121.280,9.183
'[17:51:27.312]',0.125,-,0.770,0.885,-0.167,1.513,116.884,9.183
'[17:51:27.320]',0.120,-,0.775,0.890,-0.171,1.496,112.097,9.183
'[17:51:27.328]',0.140,-,0.740,0.885,-0.174,1.481,107.506,9.183
'[17:51:27.336]',0.150,-,0.730,0.875,-0.177,1.464,103.305,9.310
'[17:51:27.344]',0.100,-,0.780,0.875,-0.179,1.446,99.544,9.437
'[17:51:27.352]',0.105,-,0.770,0.870,-0.181,1.426,95.979,9.564
'[17:51:27.360]',0.100,-,0.780,0.875,-0.182,1.408,92.608,9.681
'[17:51:27.368]',0.105,-,0.770,0.875,-0.183,1.389,89.287,9.808
'[17:51:27.376]',0.095,-,0.785,0.870,-0.184,1.370,86.259,9.876
'[17:51:27.384]',0.075,-,0.810,0.870,-0.184,1.350,83.279,9.876
'[17:51:27.392]',0.090,-,0.785,0.875,-0.184,1.331,80.544,9.876
'[17:51:27.400]',0.095,-,0.770,0.860,-0.184,1.311,77.809,9.935
'[17:51:27.408]',0.115,-,0.755,0.875,-0.183,1.290,74.927,9.935
'[17:51:27.416]',0.130,-,0.745,0.890,-0.181,1.274,71.996,9.993
'[17:51:27.424]',0.135,-,0.735,0.900,-0.179,1.260,68.968,9.993
'[17:51:27.432]',0.130,-,0.750,0.900,-0.177,1.244,66.037,9.993
'[17:51:27.440]',0.130,-,0.755,0.915,-0.174,1.230,63.253,9.993
'[17:51:27.448]',0.140,-,0.745,0.905,-0.172,1.219,60.616,9.993
'[17:51:27.456]',0.125,-,0.755,0.885,-0.169,1.220,58.369,9.993
'[17:51:27.464]',0.100,-,0.765,0.865,-0.167,1.239,56.464,9.993
'[17:51:27.472]',0.095,-,0.770,0.845,-0.166,1.284,54.998,9.993
