'Time','II','PLETH','I','ABP','III'
'hh:mm:ss.mmm','mV','NU','mV','mmHg','mV'
'[05:37:50.320]',-0.008,0.282,-,56.250,-
'[05:37:50.328]',-0.024,0.267,-,58.125,-
'[05:37:50.336]',-0.024,0.255,-,60.000,-
'[05:37:50.344]',-0.024,0.243,-,63.125,-
'[05:37:50.352]',-0.031,0.239,-,66.250,-
'[05:37:50.360]',-0.031,0.235,-,68.750,-
'[05:37:50.368]',-0.039,0.239,-,71.250,-
'[05:37:50.376]',-0.039,0.243,-,73.750,-
'[05:37:50.384]',-0.031,0.247,-,75.000,-
'[05:37:50.392]',-0.031,0.255,-,78.125,-
'[05:37:50.400]',-0.031,0.263,-,80.625,-
'[05:37:50.408]',-0.031,0.275,-,83.125,-
'[05:37:50.416]',-0.031,0.282,-,85.000,-
'[05:37:50.424]',-0.031,0.294,-,86.875,-
'[05:37:50.432]',-0.039,0.306,-,87.500,-
'[05:37:50.440]',-0.039,0.314,-,88.125,-
'[05:37:50.448]',-0.039,0.322,-,89.375,-
'[05:37:50.456]',-0.039,0.329,-,88.125,-
'[05:37:50.464]',-0.047,0.333,-,87.500,-
'[05:37:50.472]',-0.016,0.337,-,86.250,-
'[05:37:50.480]',-0.008,0.341,-,84.375,-
'[05:37:50.488]',0.016,0.345,-,83.125,-
'[05:37:50.496]',0.047,0.345,-,80.625,-
'[05:37:50.504]',0.063,0.345,-,77.500,-
'[05:37:50.512]',0.079,0.341,-,75.000,-
'[05:37:50.520]',0.071,0.341,-,72.500,-
'[05:37:50.528]',0.024,0.337,-,70.625,-
'[05:37:50.536]',-0.031,0.333,-,68.125,-
'[05:37:50.544]',-0.063,0.325,-,66.250,-
'[05:37:50.552]',-0.071,0.322,-,65.000,-
'[05:37:50.560]',-0.063,0.314,-,63.125,-
'[05:37:50.568]',-0.071,0.310,-,61.875,-
'[05:37:50.576]',-0.102,0.306,-,61.250,-
'[05:37:50.584]',-0.205,0.302,-,59.375,-
'[05:37:50.592]',0.110,0.302,-,58.750,-
'[05:37:50.600]',0.921,0.306,-,58.125,-
'[05:37:50.608]',1.307,0.318,-,58.125,-
'[05:37:50.616]',0.583,0.333,-,56.875,-
'[05:37:50.624]',-0.008,0.361,-,56.875,-
'[05:37:50.632]',-0.283,0.392,-,56.875,-
'[05:37:50.640]',-0.339,0.435,-,56.875,-
'[05:37:50.648]',-0.260,0.478,-,56.875,-
'[05:37:50.656]',-0.244,0.518,-,58.125,-
'[05:37:50.664]',-0.236,0.553,-,58.125,-
'[05:37:50.672]',-0.213,0.584,-,58.125,-
'[05:37:50.680]',-0.213,0.612,-,58.750,-
'[05:37:50.688]',-0.189,0.643,-,58.750,-
'[05:37:50.696]',-0.189,0.663,-,59.375,-
'[05:37:50.704]',-0.173,0.682,-,59.375,-
'[05:37:50.712]',-0.157,0.694,-,60.000,-
'[05:37:50.720]',-0.142,0.698,-,60.000,-
'[05:37:50.728]',-0.142,0.694,-,60.000,-
'[05:37:50.736]',-0.134,0.686,-,60.000,-
'[05:37:50.744]',-0.118,0.675,-,61.250,-
'[05:37:50.752]',-0.094,0.655,-,61.250,-
'[05:37:50.760]',-0.087,0.631,-,60.000,-
'[05:37:50.768]',-0.063,0.608,-,60.000,-
'[05:37:50.776]',-0.047,0.584,-,60.000,-
'[05:37:50.784]',-0.016,0.557,-,60.000,-
'[05:37:50.792]',0.008,0.525,-,59.375,-
'[05:37:50.800]',0.024,0.494,-,59.375,-
'[05:37:50.808]',0.039,0.463,-,58.750,-
'[05:37:50.816]',0.039,0.435,-,58.750,-
'[05:37:50.824]',0.024,0.404,-,58.125,-
'[05:37:50.832]',0.016,0.376,-,58.125,-
'[05:37:50.840]',0.000,0.353,-,56.875,-
'[05:37:50.848]',-0.016,0.329,-,58.125,-
'[05:37:50.856]',-0.024,0.310,-,58.750,-
'[05:37:50.864]',-0.031,0.294,-,61.250,-
'[05:37:50.872]',-0.031,0.286,-,64.375,-
'[05:37:50.880]',-0.039,0.278,-,67.500,-
'[05:37:50.888]',-0.039,0.271,-,70.625,-
'[05:37:50.896]',-0.047,0.271,-,72.500,-
'[05:37:50.904]',-0.031,0.271,-,75.000,-
'[05:37:50.912]',-0.039,0.275,-,77.500,-
'[05:37:50.920]',-0.031,0.278,-,80.000,-
'[05:37:50.928]',-0.039,0.290,-,83.125,-
'[05:37:50.936]',-0.039,0.298,-,85.000,-
'[05:37:50.944]',-0.031,0.310,-,87.500,-
'[05:37:50.952]',-0.039,0.318,-,90.000,-
'[05:37:50.960]',-0.047,0.329,-,90.625,-
'[05:37:50.968]',-0.039,0.337,-,91.250,-
'[05:37:50.976]',-0.047,0.345,-,92.500,-
'[05:37:50.984]',-0.047,0.353,-,91.250,-
'[05:37:50.992]',-0.031,0.361,-,90.625,-
'[05:37:51.000]',-0.024,0.365,-,90.000,-
'[05:37:51.008]',-0.008,0.369,-,87.500,-
'[05:37:51.016]',0.008,0.373,-,86.250,-
'[05:37:51.024]',0.047,0.376,-,83.750,-
'[05:37:51.032]',0.063,0.376,-,81.250,-
'[05:37:51.040]',0.071,0.376,-,78.125,-
'[05:37:51.048]',0.063,0.373,-,75.625,-
'[05:37:51.056]',0.016,0.369,-,73.750,-
'[05:37:51.064]',-0.031,0.365,-,71.250,-
'[05:37:51.072]',-0.063,0.365,-,69.375,-
'[05:37:51.080]',-0.071,0.357,-,68.125,-
'[05:37:51.088]',-0.071,0.353,-,65.625,-
'[05:37:51.096]',-0.071,0.345,-,65.000,-
'[05:37:51.104]',-0.094,0.341,-,63.125,-
'[05:37:51.112]',-0.213,0.337,-,62.500,-
'[05:37:51.120]',0.055,0.337,-,61.250,-
'[05:37:51.128]',0.835,0.345,-,61.250,-
'[05:37:51.136]',1.323,0.357,-,60.000,-
