'Time','II','AVR','V','RESP','PLETH','ABP','LAP'
'hh:mm:ss.mmm','mV','mV','mV','pm','NU','mmHg','mmHg'
'[18:22:32.360]',0.400,0.575,0.705,0.736,2.400,86.161,37.004
'[18:22:32.368]',0.385,0.610,0.750,0.738,2.411,85.379,37.004
'[18:22:32.376]',0.400,0.590,0.725,0.740,2.421,84.500,37.004
'[18:22:32.384]',0.425,0.565,0.770,0.742,2.430,83.572,37.004
'[18:22:32.392]',0.430,0.560,0.740,0.745,2.434,82.595,37.004
'[18:22:32.400]',0.415,0.570,0.775,0.747,2.436,81.667,37.004
'[18:22:32.408]',0.395,0.600,0.750,0.749,2.437,80.739,37.004
'[18:22:32.416]',0.390,0.610,0.825,0.751,2.438,79.860,37.004
'[18:22:32.424]',0.460,0.510,0.755,0.753,2.438,79.030,37.004
'[18:22:32.432]',0.695,0.255,0.640,0.755,2.441,78.297,37.004
'[18:22:32.440]',1.055,-0.075,0.445,0.757,2.442,77.564,37.004
'[18:22:32.448]',1.180,-0.140,0.415,0.759,2.443,76.881,37.004
'[18:22:32.456]',0.775,0.400,0.500,0.761,2.443,76.246,37.004
'[18:22:32.464]',0.680,0.590,0.690,0.763,2.438,75.611,37.004
'[18:22:32.472]',0.520,0.660,0.700,0.766,2.430,75.073,37.004
'[18:22:32.480]',0.425,0.650,0.745,0.768,2.421,74.487,37.004
'[18:22:32.488]',0.400,0.615,0.730,0.771,2.412,74.097,37.004
'[18:22:32.496]',0.415,0.575,0.805,0.773,2.401,73.755,37.004
'[18:22:32.504]',0.395,0.570,0.800,0.775,2.391,73.510,37.004
'[18:22:32.512]',0.395,0.580,0.845,0.777,2.383,73.315,37.004
'[18:22:32.520]',0.400,0.560,0.805,0.780,2.379,73.217,37.004
'[18:22:32.528]',0.390,0.555,0.830,0.782,2.374,73.168,37.004
'[18:22:32.536]',0.380,0.580,0.800,0.784,2.367,73.120,37.004
'[18:22:32.544]',0.390,0.570,0.805,0.785,2.358,73.120,37.004
'[18:22:32.552]',0.405,0.560,0.770,0.787,2.348,73.071,37.004
'[18:22:32.560]',0.415,0.555,0.765,0.789,2.338,72.924,37.004
'[18:22:32.568]',0.435,0.530,0.805,0.791,2.328,72.729,37.004
'[18:22:32.576]',0.440,0.520,0.770,0.792,2.318,72.485,37.004
'[18:22:32.584]',0.440,0.530,0.800,0.794,2.307,72.192,37.004
'[18:22:32.592]',0.435,0.535,0.730,0.795,2.302,71.801,37.004
'[18:22:32.600]',0.470,0.495,0.735,0.797,2.299,71.361,37.004
'[18:22:32.608]',0.475,0.495,0.635,0.798,2.293,70.922,37.004
'[18:22:32.616]',0.485,0.485,0.640,0.800,2.284,70.433,37.004
'[18:22:32.624]',0.530,0.440,0.590,0.801,2.278,69.945,37.004
'[18:22:32.632]',0.555,0.420,0.615,0.803,2.275,69.407,37.004
'[18:22:32.640]',0.570,0.405,0.595,0.804,2.273,68.919,37.004
'[18:22:32.648]',0.610,0.370,0.660,0.805,2.272,68.479,37.004
'[18:22:32.656]',0.655,0.335,0.650,0.806,2.272,68.040,37.004
'[18:22:32.664]',0.690,0.295,0.710,0.807,2.272,67.747,37.004
'[18:22:32.672]',0.705,0.290,0.685,0.807,2.272,67.405,37.004
'[18:22:32.680]',0.705,0.300,0.735,0.807,2.272,67.307,37.004
'[18:22:32.688]',0.710,0.295,0.710,0.807,2.272,67.551,37.004
'[18:22:32.696]',0.695,0.315,0.750,0.806,2.272,68.821,37.004
'[18:22:32.704]',0.675,0.335,0.720,0.805,2.272,71.947,37.004
'[18:22:32.712]',0.640,0.360,0.740,0.804,2.272,77.906,37.004
'[18:22:32.720]',0.585,0.400,0.710,0.803,2.272,87.138,37.004
'[18:22:32.728]',0.550,0.445,0.735,0.802,2.272,98.665,37.004
'[18:22:32.736]',0.520,0.485,0.740,0.800,2.272,110.925,37.004
'[18:22:32.744]',0.485,0.515,0.705,0.799,2.269,122.599,37.004
'[18:22:32.752]',0.455,0.525,0.725,0.796,2.265,133.002,37.004
'[18:22:32.760]',0.465,0.520,0.685,0.793,2.260,141.746,37.004
'[18:22:32.768]',0.425,0.560,0.730,0.789,2.252,148.486,37.004
'[18:22:32.776]',0.435,0.550,0.690,0.784,2.246,152.882,37.004
'[18:22:32.784]',0.440,0.540,0.730,0.778,2.238,154.640,37.004
'[18:22:32.792]',0.435,0.550,0.685,0.772,2.229,153.810,37.004
'[18:22:32.800]',0.425,0.575,0.710,0.764,2.224,150.928,37.004
'[18:22:32.808]',0.425,0.565,0.655,0.756,2.216,146.630,37.004
'[18:22:32.816]',0.445,0.555,0.685,0.748,2.207,141.550,37.004
'[18:22:32.824]',0.450,0.540,0.660,0.739,2.197,136.129,37.004
'[18:22:32.832]',0.445,0.540,0.705,0.730,2.188,130.756,37.004
'[18:22:32.840]',0.440,0.560,0.690,0.721,2.177,125.627,37.004
'[18:22:32.848]',0.435,0.570,0.730,0.710,2.167,120.889,37.004
'[18:22:32.856]',0.460,0.540,0.680,0.699,2.162,116.689,37.004
'[18:22:32.864]',0.450,0.555,0.695,0.685,2.159,113.074,37.004
'[18:22:32.872]',0.460,0.540,0.640,0.672,2.158,109.948,37.004
'[18:22:32.880]',0.470,0.525,0.620,0.659,2.157,107.310,37.004
'[18:22:32.888]',0.470,0.520,0.555,0.646,2.152,105.064,37.004
'[18:22:32.896]',0.470,0.520,0.590,0.633,2.144,103.110,37.004
'[18:22:32.904]',0.465,0.535,0.550,0.620,2.140,101.352,37.004
'[18:22:32.912]',0.470,0.535,0.585,0.606,2.138,99.691,37.004
'[18:22:32.920]',0.460,0.540,0.550,0.592,2.134,97.932,37.004
'[18:22:32.928]',0.455,0.545,0.545,0.577,2.127,95.979,37.004
'[18:22:32.936]',0.470,0.540,0.565,0.562,2.115,93.927,37.004
'[18:22:32.944]',0.470,0.540,0.535,0.547,2.102,91.729,37.004
'[18:22:32.952]',0.450,0.555,0.540,0.533,2.090,89.531,37.004
'[18:22:32.960]',0.445,0.545,0.495,0.519,2.076,87.529,37.004
'[18:22:32.968]',0.465,0.525,0.525,0.505,2.065,86.063,37.004
'[18:22:32.976]',0.465,0.520,0.485,0.493,2.059,85.135,37.004
'[18:22:32.984]',0.460,0.530,0.520,0.480,2.056,84.696,37.004
'[18:22:32.992]',0.470,0.530,0.490,0.470,2.057,84.696,37.004
'[18:22:33.000]',0.460,0.550,0.535,0.459,2.065,84.940,37.004
'[18:22:33.008]',0.445,0.565,0.505,0.450,2.079,85.428,37.004
'[18:22:33.016]',0.490,0.505,0.545,0.441,2.047,86.161,37.004
'[18:22:33.024]',0.535,0.460,0.530,0.434,1.998,87.138,37.004
'[18:22:33.032]',0.550,0.445,0.575,0.426,1.993,88.261,37.004
'[18:22:33.040]',0.535,0.445,0.530,0.420,2.009,89.287,37.004
'[18:22:33.048]',0.555,0.425,0.540,0.415,2.042,90.215,37.004
'[18:22:33.056]',0.560,0.420,0.470,0.410,2.074,91.045,37.004
'[18:22:33.064]',0.495,0.490,0.495,0.405,2.103,91.534,37.004
'[18:22:33.072]',0.450,0.520,0.450,0.402,2.129,91.876,37.004
'[18:22:33.080]',0.440,0.525,0.485,0.398,2.155,91.876,37.004
'[18:22:33.088]',0.430,0.540,0.445,0.395,2.184,91.680,37.004
'[18:22:33.096]',0.425,0.565,0.495,0.392,2.211,91.241,37.004
'[18:22:33.104]',0.405,0.580,0.465,0.390,2.234,90.655,37.004
'[18:22:33.112]',0.400,0.580,0.490,0.387,2.258,89.922,37.004
'[18:22:33.120]',0.425,0.560,0.470,0.386,2.285,89.092,37.004
'[18:22:33.128]',0.405,0.580,0.510,0.384,2.309,88.164,37.004
'[18:22:33.136]',0.400,0.590,0.490,0.382,2.326,87.187,37.004
'[18:22:33.144]',0.420,0.580,0.525,0.380,2.341,86.112,37.004
'[18:22:33.152]',0.425,0.580,0.510,0.379,2.352,85.038,37.004
'[18:22:33.160]',0.450,0.545,0.535,0.377,2.361,84.012,37.004
'[18:22:33.168]',0.455,0.540,0.530,0.376,2.371,83.035,37.004
'[18:22:33.176]',0.405,0.600,0.570,0.374,2.383,82.156,37.004
'[18:22:33.184]',0.430,0.580,0.590,0.372,2.395,81.374,37.004
'[18:22:33.192]',0.565,0.410,0.480,0.370,2.404,80.690,37.004
'[18:22:33.200]',0.890,0.085,0.335,0.368,2.409,79.909,37.004
'[18:22:33.208]',1.190,-0.145,0.140,0.367,2.411,79.176,37.004
'[18:22:33.216]',0.920,0.130,0.170,0.366,2.412,78.492,37.004
'[18:22:33.224]',0.680,0.510,0.330,0.364,2.409,77.809,37.004
