'Time','II','III','MCL','RESP','PLETH','ABP'
'hh:mm:ss.mmm','mV','mV','mV','pm','NU','mmHg'
'[11:13:01.448]',-0.140,0.245,1.020,0.228,1.192,120.508
'[11:13:01.456]',-0.140,0.250,1.015,0.227,1.176,133.872
'[11:13:01.464]',-0.135,0.265,1.015,0.227,1.162,145.536
'[11:13:01.472]',-0.126,0.280,1.005,0.226,1.152,154.386
'[11:13:01.480]',-0.095,0.305,0.995,0.225,1.144,159.427
'[11:13:01.488]',-0.075,0.320,0.995,0.224,1.142,160.599
'[11:13:01.496]',-0.061,0.320,0.985,0.223,1.144,158.255
'[11:13:01.504]',-0.050,0.315,0.980,0.222,1.147,153.214
'[11:13:01.512]',-0.035,0.310,0.980,0.222,1.151,146.532
'[11:13:01.520]',-0.025,0.295,0.975,0.221,1.153,139.030
'[11:13:01.528]',-0.025,0.290,0.965,0.221,1.157,131.351
'[11:13:01.536]',-0.025,0.275,0.965,0.220,1.163,123.966
'[11:13:01.544]',-0.025,0.270,0.955,0.220,1.171,117.226
'[11:13:01.552]',-0.025,0.260,0.955,0.220,1.181,111.130
'[11:13:01.560]',-0.030,0.255,0.960,0.220,1.193,105.738
'[11:13:01.568]',-0.035,0.250,0.955,0.221,1.204,101.224
'[11:13:01.576]',-0.035,0.245,0.955,0.221,1.218,97.473
'[11:13:01.584]',-0.035,0.245,0.950,0.223,1.232,94.543
'[11:13:01.592]',-0.041,0.245,0.945,0.224,1.244,92.315
'[11:13:01.600]',-0.041,0.245,0.945,0.226,1.256,90.674
'[11:13:01.608]',-0.050,0.240,0.940,0.228,1.267,89.619
'[11:13:01.616]',-0.055,0.245,0.945,0.230,1.278,88.857
'[11:13:01.624]',-0.055,0.245,0.945,0.233,1.285,88.447
'[11:13:01.632]',-0.061,0.240,0.940,0.236,1.290,88.037
'[11:13:01.640]',-0.065,0.240,0.935,0.238,1.291,87.685
'[11:13:01.648]',-0.065,0.240,0.940,0.241,1.287,87.275
'[11:13:01.656]',-0.070,0.235,0.935,0.243,1.279,86.864
'[11:13:01.664]',-0.065,0.240,0.940,0.246,1.269,86.630
'[11:13:01.672]',-0.070,0.235,0.935,0.248,1.263,86.688
'[11:13:01.680]',-0.065,0.240,0.940,0.250,1.267,87.216
'[11:13:01.688]',-0.070,0.240,0.935,0.253,1.290,88.271
'[11:13:01.696]',-0.070,0.240,0.935,0.255,1.348,89.912
'[11:13:01.704]',-0.065,0.245,0.945,0.258,1.452,91.964
'[11:13:01.712]',-0.065,0.240,0.945,0.260,1.604,94.367
'[11:13:01.720]',-0.065,0.245,0.940,0.262,1.799,96.946
'[11:13:01.728]',-0.065,0.245,0.940,0.264,2.020,99.525
'[11:13:01.736]',-0.070,0.245,0.945,0.265,2.241,102.045
'[11:13:01.744]',-0.065,0.240,0.940,0.266,2.442,104.214
'[11:13:01.752]',-0.065,0.245,0.945,0.266,2.601,105.972
'[11:13:01.760]',-0.061,0.245,0.950,0.266,2.708,107.203
'[11:13:01.768]',-0.041,0.255,0.950,0.266,2.757,107.730
'[11:13:01.776]',-0.005,0.265,0.970,0.265,2.753,107.730
'[11:13:01.784]',0.015,0.280,0.995,0.264,2.716,107.086
'[11:13:01.792]',0.020,0.275,1.000,0.263,2.654,106.031
'[11:13:01.800]',0.030,0.295,1.005,0.263,2.568,104.507
'[11:13:01.808]',0.015,0.305,1.015,0.262,2.467,102.631
'[11:13:01.816]',-0.010,0.290,0.970,0.262,2.358,100.521
'[11:13:01.824]',-0.015,0.270,0.950,0.261,2.245,98.294
'[11:13:01.832]',-0.035,0.265,0.930,0.260,2.135,96.066
'[11:13:01.840]',-0.050,0.265,0.925,0.258,2.028,93.781
'[11:13:01.848]',-0.055,0.260,0.930,0.257,1.932,91.671
'[11:13:01.856]',-0.075,0.245,0.930,0.256,1.845,89.619
'[11:13:01.864]',-0.095,0.240,0.930,0.254,1.770,87.685
'[11:13:01.872]',-0.090,0.245,0.930,0.252,1.707,85.868
'[11:13:01.880]',-0.081,0.245,0.925,0.251,1.659,84.227
'[11:13:01.888]',-0.081,0.240,0.925,0.249,1.623,82.761
'[11:13:01.896]',-0.075,0.240,0.925,0.248,1.592,81.355
'[11:13:01.904]',-0.081,0.215,0.915,0.247,1.568,80.182
'[11:13:01.912]',0.055,0.280,1.010,0.246,1.547,79.127
'[11:13:01.920]',0.355,0.555,1.125,0.246,1.530,78.131
'[11:13:01.928]',0.855,1.101,1.185,0.246,1.513,77.252
'[11:13:01.936]',1.146,1.501,1.265,0.246,1.498,76.431
'[11:13:01.944]',0.295,1.205,0.930,0.247,1.486,75.728
'[11:13:01.952]',-0.240,0.715,0.685,0.247,1.481,75.083
'[11:13:01.960]',-0.285,0.420,0.785,0.247,1.483,74.614
'[11:13:01.968]',-0.196,0.250,0.890,0.248,1.495,74.145
'[11:13:01.976]',-0.140,0.195,0.940,0.248,1.518,73.852
'[11:13:01.984]',-0.120,0.180,0.970,0.249,1.544,73.676
'[11:13:01.992]',-0.110,0.165,0.975,0.249,1.576,73.559
'[11:13:02.000]',-0.106,0.165,0.975,0.250,1.616,73.501
'[11:13:02.008]',-0.100,0.160,0.975,0.251,1.660,73.501
'[11:13:02.016]',-0.095,0.170,0.975,0.252,1.705,73.676
'[11:13:02.024]',-0.086,0.175,0.975,0.253,1.747,73.852
'[11:13:02.032]',-0.081,0.180,0.985,0.254,1.783,74.145
'[11:13:02.040]',-0.070,0.180,0.985,0.255,1.811,74.497
'[11:13:02.048]',-0.065,0.195,0.990,0.256,1.829,74.849
'[11:13:02.056]',-0.061,0.190,0.990,0.257,1.836,75.318
'[11:13:02.064]',-0.055,0.200,1.000,0.258,1.831,75.669
'[11:13:02.072]',-0.050,0.205,1.000,0.259,1.815,76.138
'[11:13:02.080]',-0.045,0.215,1.005,0.262,1.794,76.490
'[11:13:02.088]',-0.035,0.225,1.005,0.264,1.767,76.841
'[11:13:02.096]',-0.025,0.225,1.015,0.267,1.734,77.135
'[11:13:02.104]',-0.025,0.240,1.015,0.269,1.696,77.310
'[11:13:02.112]',-0.025,0.245,1.020,0.271,1.655,77.428
'[11:13:02.120]',-0.021,0.245,1.025,0.273,1.613,77.486
'[11:13:02.128]',-0.021,0.245,1.030,0.275,1.571,77.428
'[11:13:02.136]',-0.015,0.260,1.040,0.277,1.529,77.252
'[11:13:02.144]',-0.010,0.255,1.045,0.279,1.488,76.841
'[11:13:02.152]',-0.015,0.265,1.050,0.281,1.449,76.431
'[11:13:02.160]',-0.021,0.265,1.055,0.284,1.411,75.904
'[11:13:02.168]',-0.025,0.265,1.060,0.287,1.374,75.435
'[11:13:02.176]',-0.045,0.260,1.065,0.290,1.340,75.318
'[11:13:02.184]',-0.061,0.260,1.070,0.293,1.314,75.962
'[11:13:02.192]',-0.081,0.245,1.060,0.295,1.293,78.717
'[11:13:02.200]',-0.106,0.240,1.050,0.298,1.273,84.403
'[11:13:02.208]',-0.126,0.230,1.040,0.301,1.252,93.546
'[11:13:02.216]',-0.135,0.240,1.035,0.303,1.235,105.620
'[11:13:02.224]',-0.140,0.245,1.020,0.306,1.219,119.336
'[11:13:02.232]',-0.140,0.260,1.015,0.308,1.205,133.168
'[11:13:02.240]',-0.126,0.275,1.000,0.310,1.192,145.360
'[11:13:02.248]',-0.106,0.295,1.000,0.312,1.181,154.504
'[11:13:02.256]',-0.081,0.310,0.995,0.313,1.174,159.720
'[11:13:02.264]',-0.061,0.320,0.995,0.314,1.170,160.775
'[11:13:02.272]',-0.041,0.325,0.990,0.315,1.169,158.196
'[11:13:02.280]',-0.025,0.320,0.985,0.317,1.171,152.745
'[11:13:02.288]',-0.015,0.315,0.980,0.317,1.173,145.536
'[11:13:02.296]',-0.000,0.305,0.980,0.318,1.176,137.623
'[11:13:02.304]',-0.005,0.295,0.975,0.319,1.182,129.593
'[11:13:02.312]',-0.005,0.290,0.975,0.319,1.190,121.915
'[11:13:02.320]',-0.005,0.280,0.975,0.320,1.199,114.881
'[11:13:02.328]',-0.005,0.275,0.970,0.320,1.212,108.551
'[11:13:02.336]',-0.005,0.270,0.970,0.321,1.227,103.041
'[11:13:02.344]',-0.010,0.265,0.960,0.322,1.241,98.411
