'Time','II','ABP','PLETH','I'
'hh:mm:ss.mmm','mV','mmHg','NU','mV'
'[00:17:26.000]',-,-,-,-
'[00:17:26.008]',-,-,-,-
'[00:17:26.016]',-,-,-,-
'[00:17:26.024]',-,-,-,-
'[00:17:26.032]',-,-,-,-
'[00:17:26.040]',-,-,-,-
'[00:17:26.048]',-,-,-,-
'[00:17:26.056]',-,-,-,-
'[00:17:26.064]',-,-,-,-
'[00:17:26.072]',-,-,-,-
'[00:17:26.080]',-,-,-,-
'[00:17:26.088]',-,-,-,-
'[00:17:26.096]',-,-,-,-
'[00:17:26.104]',-,-,-,-
'[00:17:26.112]',-,-,-,-
'[00:17:26.120]',-,-,-,-
'[00:17:26.128]',-,-,-,-
'[00:17:26.136]',-,-,-,-
'[00:17:26.144]',-,-,-,-
'[00:17:26.152]',-,-,-,-
'[00:17:26.160]',-,-,-,-
'[00:17:26.168]',-,-,-,-
'[00:17:26.176]',-,-,-,-
'[00:17:26.184]',-,-,-,-
'[00:17:26.192]',-,-,-,-
'[00:17:26.200]',-,-,-,-
'[00:17:26.208]',-,-,-,-
'[00:17:26.216]',-,-,-,-
'[00:17:26.224]',-,-,-,-
'[00:17:26.232]',-,-,-,-
'[00:17:26.240]',-,-,-,-
'[00:17:26.248]',-,-,-,-
'[00:17:26.256]',-,-,-,-
'[00:17:26.264]',-,-,-,-
'[00:17:26.272]',-,-,-,-
'[00:17:26.280]',-,-,-,-
'[00:17:26.288]',-,-,-,-
'[00:17:26.296]',-,-,-,-
'[00:17:26.304]',-,-,-,-
'[00:17:26.312]',-,-,-,-
'[00:17:26.320]',-,-,-,-
'[00:17:26.328]',-,-,-,-
'[00:17:26.336]',-,-,-,-
'[00:17:26.344]',-,-,-,-
'[00:17:26.352]',-,-,-,-
'[00:17:26.360]',-,-,-,-
'[00:17:26.368]',-,-,-,-
'[00:17:26.376]',-,-,-,-
'[00:17:26.384]',-,-,-,-
'[00:17:26.392]',-,-,-,-
'[00:17:26.400]',-,-,-,-
'[00:17:26.408]',-,-,-,-
'[00:17:26.416]',-,-,-,-
'[00:17:26.424]',-,-,-,-
'[00:17:26.432]',-,-,-,-
'[00:17:26.440]',-,-,-,-
'[00:17:26.448]',-,-,-,-
'[00:17:26.456]',-,-,-,-
'[00:17:26.464]',-,-,-,-
'[00:17:26.472]',-,-,-,-
'[00:17:26.480]',-,-,-,-
'[00:17:26.488]',-,-,-,-
'[00:17:26.496]',-,-,-,-
'[00:17:26.504]',-,-,-,-
'[00:17:26.512]',-,-,-,-
'[00:17:26.520]',-,-,-,-
'[00:17:26.528]',-,-,-,-
'[00:17:26.536]',-,-,-,-
'[00:17:26.544]',-,-,-,-
'[00:17:26.552]',-,-,-,-
'[00:17:26.560]',-,-,-,-
'[00:17:26.568]',-,-,-,-
'[00:17:26.576]',-,-,-,-
'[00:17:26.584]',-,-,-,-
'[00:17:26.592]',-,-,-,-
'[00:17:26.600]',-,-,-,-
'[00:17:26.608]',-,-,-,-
'[00:17:26.616]',-,-,-,-
'[00:17:26.624]',-,-,-,-
'[00:17:26.632]',-,-,-,-
'[00:17:26.640]',-,-,-,-
'[00:17:26.648]',-,-,-,-
'[00:17:26.656]',-,-,-,-
'[00:17:26.664]',-,-,-,-
'[00:17:26.672]',-,-,-,-
'[00:17:26.680]',-,-,-,-
'[00:17:26.688]',-,-,-,-
'[00:17:26.696]',-,-,-,-
'[00:17:26.704]',-,-,-,-
'[00:17:26.712]',-,-,-,-
'[00:17:26.720]',-,-,-,-
'[00:17:26.728]',-,-,-,-
'[00:17:26.736]',-,-,-,-
'[00:17:26.744]',-,-,-,-
'[00:17:26.752]',-,-,-,-
'[00:17:26.760]',-,-,-,-
'[00:17:26.768]',-,-,-,-
'[00:17:26.776]',-,-,-,-
'[00:17:26.784]',-,-,-,-
'[00:17:26.792]',-,-,-,-
'[00:17:26.800]',-,-,-,-
'[00:17:26.808]',-,-,-,-
'[00:17:26.816]',-,-,-,-
'[00:17:26.824]',-,-,-,-
'[00:17:26.832]',-,-,-,-
'[00:17:26.840]',-,-,-,-
'[00:17:26.848]',-,-,-,-
'[00:17:26.856]',-,-,-,-
'[00:17:26.864]',-,-,-,-
'[00:17:26.872]',-,-,-,-
'[00:17:26.880]',-,-,-,-
'[00:17:26.888]',-,-,-,-
'[00:17:26.896]',-,-,-,-
'[00:17:26.904]',-,-,-,-
'[00:17:26.912]',-,-,-,-
'[00:17:26.920]',-,-,-,-
'[00:17:26.928]',-,-,-,-
'[00:17:26.936]',-,-,-,-
'[00:17:26.944]',-,-,-,-
'[00:17:26.952]',-,-,-,-
'[00:17:26.960]',-,-,-,-
'[00:17:26.968]',-,-,-,-
'[00:17:26.976]',-,-,-,-
'[00:17:26.984]',-,-,-,-
'[00:17:26.992]',-,-,-,-
'[00:17:27.000]',-,-,-,-
'[00:17:27.008]',-,-,-,-
'[00:17:27.016]',-,-,-,-
'[00:17:27.024]',-,-,-,-
'[00:17:27.032]',-,-,-,-
'[00:17:27.040]',-,-,-,-
'[00:17:27.048]',-,-,-,-
'[00:17:27.056]',-,-,-,-
'[00:17:27.064]',-,-,-,-
'[00:17:27.072]',-,-,-,-
'[00:17:27.080]',-,-,-,-
'[00:17:27.088]',-,-,-,-
'[00:17:27.096]',-,-,-,-
'[00:17:27.104]',-,-,-,-
'[00:17:27.112]',-,-,-,-
'[00:17:27.120]',-,-,-,-
'[00:17:27.128]',-,-,-,-
