'Time','II','CVP','V','ABP','PLETH','I'
'hh:mm:ss.mmm','mV','mmHg','mV','mmHg','NU','mV'
'[14:11:18.000]',0.562,-,0.850,121.771,-,-
'[14:11:18.008]',0.570,-,0.835,120.312,-,-
'[14:11:18.016]',0.547,-,0.819,118.125,-,-
'[14:11:18.024]',0.531,-,0.811,115.573,-,-
'[14:11:18.032]',0.500,-,0.803,112.656,-,-
'[14:11:18.040]',0.477,-,0.795,110.104,-,-
'[14:11:18.048]',0.453,-,0.787,107.187,-,-
'[14:11:18.056]',0.445,-,0.780,103.177,-,-
'[14:11:18.064]',0.438,-,0.780,99.167,-,-
'[14:11:18.072]',0.430,-,0.772,95.156,-,-
'[14:11:18.080]',0.422,-,0.772,91.510,-,-
'[14:11:18.088]',0.422,-,0.772,88.958,-,-
'[14:11:18.096]',0.422,-,0.780,86.771,-,-
'[14:11:18.104]',0.422,-,0.787,84.219,-,-
'[14:11:18.112]',0.445,-,0.811,83.489,-,-
'[14:11:18.120]',0.500,-,0.858,82.760,-,-
'[14:11:18.128]',0.656,-,0.945,82.760,-,-
'[14:11:18.136]',0.891,-,1.055,83.489,-,-
'[14:11:18.144]',1.000,-,1.071,84.219,-,-
'[14:11:18.152]',0.891,-,0.882,85.312,-,-
'[14:11:18.160]',0.727,-,0.780,85.312,-,-
'[14:11:18.168]',0.578,-,0.724,86.042,-,-
'[14:11:18.176]',0.516,-,0.748,86.042,-,-
'[14:11:18.184]',0.461,-,0.764,86.042,-,-
'[14:11:18.192]',0.422,-,0.772,86.042,-,-
'[14:11:18.200]',0.422,-,0.780,86.042,-,-
'[14:11:18.208]',0.414,-,0.787,85.312,-,-
'[14:11:18.216]',0.398,-,0.787,84.219,-,-
'[14:11:18.224]',0.406,-,0.780,82.760,-,-
'[14:11:18.232]',0.398,-,0.787,80.573,-,-
'[14:11:18.240]',0.406,-,0.780,79.844,-,-
'[14:11:18.248]',0.406,-,0.787,79.844,-,-
'[14:11:18.256]',0.406,-,0.795,80.573,-,-
'[14:11:18.264]',0.414,-,0.795,79.844,-,-
'[14:11:18.272]',0.406,-,0.795,78.021,-,-
'[14:11:18.280]',0.414,-,0.795,76.562,-,-
'[14:11:18.288]',0.422,-,0.795,75.833,-,-
'[14:11:18.296]',0.422,-,0.803,75.833,-,-
'[14:11:18.304]',0.430,-,0.811,75.104,-,-
'[14:11:18.312]',0.445,-,0.819,74.375,-,-
'[14:11:18.320]',0.453,-,0.827,73.281,-,-
'[14:11:18.328]',0.461,-,0.827,73.281,-,-
'[14:11:18.336]',0.461,-,0.835,72.552,-,-
'[14:11:18.344]',0.469,-,0.835,71.823,-,-
'[14:11:18.352]',0.492,-,0.835,71.823,-,-
'[14:11:18.360]',0.500,-,0.835,72.552,-,-
'[14:11:18.368]',0.516,-,0.835,73.281,-,-
'[14:11:18.376]',0.516,-,0.835,76.562,-,-
'[14:11:18.384]',0.516,-,0.835,81.302,-,-
'[14:11:18.392]',0.492,-,0.835,88.229,-,-
