'Time','I','II','AVR','MCL','RESP','PLETH','ABP'
'hh:mm:ss.mmm','mV','mV','mV','mV','pm','NU','mmHg'
'[13:11:00.838]',-,-,-,-,-,-,-
'[13:11:00.846]',-,-,-,-,-,-,-
'[13:11:00.854]',-,-,-,-,-,-,-
'[13:11:00.862]',-,-,-,-,-,-,-
'[13:11:00.870]',-,-,-,-,-,-,-
'[13:11:00.878]',-,-,-,-,-,-,-
'[13:11:00.886]',-,-,-,-,-,-,-
'[13:11:00.894]',-,-,-,-,-,-,-
'[13:11:00.902]',-,-,-,-,-,-,-
'[13:11:00.910]',-,-,-,-,-,-,-
'[13:11:00.918]',-,-,-,-,-,-,-
'[13:11:00.926]',-,-,-,-,-,-,-
'[13:11:00.934]',-,-,-,-,-,-,-
'[13:11:00.942]',-,-,-,-,-,-,-
'[13:11:00.950]',-,-,-,-,-,-,-
'[13:11:00.958]',-,-,-,-,-,-,-
'[13:11:00.966]',-,-,-,-,-,-,-
'[13:11:00.974]',-,-,-,-,-,-,-
'[13:11:00.982]',-,-,-,-,-,-,-
'[13:11:00.990]',-,-,-,-,-,-,-
'[13:11:00.998]',-,-,-,-,-,-,-
'[13:11:01.006]',-,-,-,-,-,-,-
'[13:11:01.014]',-,-,-,-,-,-,-
'[13:11:01.022]',-,-,-,-,-,-,-
'[13:11:01.030]',-,-,-,-,-,-,-
'[13:11:01.038]',-,-,-,-,-,-,-
'[13:11:01.046]',-,-,-,-,-,-,-
'[13:11:01.054]',-,-,-,-,-,-,-
'[13:11:01.062]',-,-,-,-,-,-,-
'[13:11:01.070]',-,-,-,-,-,-,-
'[13:11:01.078]',-,-,-,-,-,-,-
'[13:11:01.086]',-,-,-,-,-,-,-
'[13:11:01.094]',-,-,-,-,-,-,-
'[13:11:01.102]',-,-,-,-,-,-,-
'[13:11:01.110]',-,-,-,-,-,-,-
'[13:11:01.118]',-,-,-,-,-,-,-
'[13:11:01.126]',-,-,-,-,-,-,-
'[13:11:01.134]',-,-,-,-,-,-,-
'[13:11:01.142]',-,-,-,-,-,-,-
'[13:11:01.150]',-,-,-,-,-,-,-
'[13:11:01.158]',-,-,-,-,-,-,-
'[13:11:01.166]',-,-,-,-,-,-,-
'[13:11:01.174]',-,-,-,-,-,-,-
'[13:11:01.182]',-,-,-,-,-,-,-
'[13:11:01.190]',-,-,-,-,-,-,-
'[13:11:01.198]',-,-,-,-,-,-,-
'[13:11:01.206]',-,-,-,-,-,-,-
'[13:11:01.214]',-,-,-,-,-,-,-
'[13:11:01.222]',-,-,-,-,-,-,-
'[13:11:01.230]',-,-,-,-,-,-,-
'[13:11:01.238]',-,-,-,-,-,-,-
'[13:11:01.246]',-,-,-,-,-,-,-
'[13:11:01.254]',-,-,-,-,-,-,-
'[13:11:01.262]',-,-,-,-,-,-,-
'[13:11:01.270]',-,-,-,-,-,-,-
'[13:11:01.278]',-,-,-,-,-,-,-
'[13:11:01.286]',-,-,-,-,-,-,-
'[13:11:01.294]',-,-,-,-,-,-,-
'[13:11:01.302]',-,-,-,-,-,-,-
'[13:11:01.310]',-,-,-,-,-,-,-
'[13:11:01.318]',-,-,-,-,-,-,-
'[13:11:01.326]',-,-,-,-,-,-,-
'[13:11:01.334]',-,-,-,-,-,-,-
'[13:11:01.342]',-,-,-,-,-,-,-
'[13:11:01.350]',-,-,-,-,-,-,-
'[13:11:01.358]',-,-,-,-,-,-,-
'[13:11:01.366]',-,-,-,-,-,-,-
'[13:11:01.374]',-,-,-,-,-,-,-
'[13:11:01.382]',-,-,-,-,-,-,-
'[13:11:01.390]',-,-,-,-,-,-,-
'[13:11:01.398]',-,-,-,-,-,-,-
'[13:11:01.406]',-,-,-,-,-,-,-
'[13:11:01.414]',-,-,-,-,-,-,-
'[13:11:01.422]',-,-,-,-,-,-,-
'[13:11:01.430]',-,-,-,-,-,-,-
'[13:11:01.438]',-,-,-,-,-,-,-
'[13:11:01.446]',-,-,-,-,-,-,-
'[13:11:01.454]',-,-,-,-,-,-,-
