'Time','I','II','AVR','V','RESP','PLETH','ABP','PAP','CVP'
'hh:mm:ss.mmm','mV','mV','mV','mV','pm','NU','mmHg','mmHg','mmHg'
'[15:28:44.688]',-,-0.050,0.820,0.895,-0.087,1.310,76.841,26.301,18.189
'[15:28:44.696]',-,-0.030,0.825,0.890,-0.087,1.298,76.666,27.300,17.750
'[15:28:44.704]',-,-0.025,0.815,0.895,-0.086,1.289,76.490,27.550,17.056
'[15:28:44.712]',-,-0.041,0.820,0.885,-0.085,1.282,76.255,26.301,16.245
'[15:28:44.720]',-,-0.021,0.800,0.900,-0.084,1.271,75.962,24.507,15.562
'[15:28:44.728]',-,-0.025,0.815,0.890,-0.082,1.258,75.669,23.621,15.376
'[15:28:44.736]',-,-0.000,0.795,0.900,-0.081,1.245,75.376,24.189,15.493
'[15:28:44.744]',-,-0.015,0.800,0.895,-0.080,1.234,75.024,25.938,15.747
'[15:28:44.752]',-,0.010,0.775,0.905,-0.079,1.223,74.849,28.504,16.118
'[15:28:44.760]',-,-0.000,0.790,0.895,-0.078,1.215,74.907,31.502,16.499
'[15:28:44.768]',-,0.030,0.760,0.910,-0.078,1.209,75.786,34.432,16.871
'[15:28:44.776]',-,0.020,0.770,0.900,-0.077,1.204,78.190,37.362,17.056
'[15:28:44.784]',-,0.044,0.750,0.910,-0.076,1.201,82.761,39.997,16.998
'[15:28:44.792]',-,0.040,0.750,0.905,-0.076,1.200,89.560,42.132,16.626
'[15:28:44.800]',-,0.060,0.735,0.900,-0.075,1.199,97.883,43.676,15.933
'[15:28:44.808]',-,0.050,0.730,0.910,-0.075,1.201,106.500,44.925,15.376
'[15:28:44.816]',-,0.070,0.720,0.900,-0.075,1.205,114.354,45.993,14.936
'[15:28:44.824]',-,0.060,0.725,0.910,-0.075,1.208,121.036,46.810,14.682
'[15:28:44.832]',-,0.085,0.710,0.895,-0.075,1.211,126.604,47.378,14.370
'[15:28:44.840]',-,0.070,0.720,0.885,-0.075,1.214,131.351,47.742,14.184
'[15:28:44.848]',-,0.075,0.725,0.875,-0.075,1.217,135.454,48.060,14.057
'[15:28:44.856]',-,0.060,0.735,0.880,-0.075,1.221,138.737,48.491,13.930
'[15:28:44.864]',-,0.055,0.745,0.850,-0.075,1.225,141.257,48.945,13.745
'[15:28:44.872]',-,0.030,0.770,0.845,-0.075,1.229,143.074,49.195,13.373
'[15:28:44.880]',-,0.035,0.780,0.825,-0.075,1.234,144.422,49.195,12.875
'[15:28:44.888]',-,-0.000,0.805,0.820,-0.075,1.239,145.419,49.241,12.563
'[15:28:44.896]',-,-0.021,0.820,0.800,-0.075,1.244,146.298,49.491,12.494
'[15:28:44.904]',-,-0.041,0.840,0.800,-0.075,1.251,147.001,49.740,12.621
'[15:28:44.912]',-,-0.050,0.860,0.785,-0.075,1.259,147.470,49.877,12.690
'[15:28:44.920]',-,-0.055,0.855,0.800,-0.075,1.266,147.880,49.877,12.875
'[15:28:44.928]',-,-0.065,0.880,0.790,-0.075,1.273,148.115,49.809,13.119
'[15:28:44.936]',-,-0.070,0.875,0.800,-0.075,1.280,148.349,49.740,13.373
'[15:28:44.944]',-,-0.086,0.895,0.795,-0.075,1.285,148.701,49.491,13.305
'[15:28:44.952]',-,-0.075,0.885,0.800,-0.075,1.291,148.994,48.991,13.002
'[15:28:44.960]',-,-0.095,0.910,0.790,-0.075,1.297,149.287,48.446,12.748
'[15:28:44.968]',-,-0.081,0.895,0.800,-0.075,1.302,149.580,47.992,12.748
'[15:28:44.976]',-,-0.095,0.910,0.800,-0.076,1.306,149.756,47.742,13.002
'[15:28:44.984]',-,-0.081,0.900,0.795,-0.077,1.309,149.756,47.446,13.373
'[15:28:44.992]',-,-0.100,0.910,0.810,-0.078,1.309,149.639,47.128,13.686
'[15:28:45.000]',-,-0.086,0.895,0.800,-0.080,1.307,149.228,46.810,13.999
'[15:28:45.008]',-,-0.100,0.915,0.815,-0.081,1.307,148.759,46.561,14.184
'[15:28:45.016]',-,-0.081,0.895,0.810,-0.083,1.310,147.997,46.379,14.243
'[15:28:45.024]',-,-0.095,0.910,0.825,-0.085,1.321,147.060,46.061,13.999
'[15:28:45.032]',-,-0.081,0.900,0.825,-0.086,1.347,145.887,45.380,13.432
'[15:28:45.040]',-,-0.095,0.910,0.835,-0.087,1.395,144.481,44.426,12.934
'[15:28:45.048]',-,-0.081,0.895,0.825,-0.089,1.471,142.722,43.563,12.690
'[15:28:45.056]',-,-0.090,0.905,0.840,-0.090,1.576,140.729,42.495,12.748
'[15:28:45.064]',-,-0.075,0.895,0.835,-0.092,1.706,138.326,41.314,12.807
'[15:28:45.072]',-,-0.086,0.890,0.845,-0.093,1.855,135.572,39.815,12.934
'[15:28:45.080]',-,-0.070,0.895,0.835,-0.095,2.014,132.289,37.930,13.119
'[15:28:45.088]',-,-0.065,0.880,0.840,-0.097,2.171,128.655,35.749,13.373
'[15:28:45.096]',-,-0.075,0.890,0.840,-0.098,2.318,124.552,34.001,13.432
'[15:28:45.104]',-,-0.055,0.875,0.850,-0.099,2.433,120.039,33.683,13.188
'[15:28:45.112]',-,-0.070,0.885,0.835,-0.100,2.523,115.292,35.114,12.934
'[15:28:45.120]',-,-0.050,0.870,0.845,-0.101,2.607,110.602,37.430,12.875
'[15:28:45.128]',-,-0.061,0.875,0.830,-0.102,2.679,106.558,39.565,13.188
'[15:28:45.136]',-,-0.045,0.860,0.840,-0.103,2.736,103.628,40.633,13.686
'[15:28:45.144]',-,-0.050,0.870,0.825,-0.103,2.778,102.221,40.428,14.057
'[15:28:45.152]',-,-0.030,0.855,0.835,-0.104,2.808,102.221,39.361,14.497
'[15:28:45.160]',-,-0.050,0.865,0.825,-0.104,2.828,102.866,38.248,14.809
'[15:28:45.168]',-,-0.030,0.850,0.835,-0.104,2.840,103.452,37.498,14.995
'[15:28:45.176]',-,-0.045,0.870,0.825,-0.103,2.843,103.510,37.067,14.936
'[15:28:45.184]',-,-0.035,0.850,0.835,-0.103,2.840,103.100,36.613,14.497
'[15:28:45.192]',-,-0.050,0.860,0.830,-0.102,2.831,102.631,36.181,13.930
'[15:28:45.200]',-,-0.030,0.845,0.825,-0.101,2.818,102.162,35.681,13.559
'[15:28:45.208]',-,-0.050,0.870,0.835,-0.100,2.801,101.752,35.318,13.559
'[15:28:45.216]',-,-0.030,0.855,0.825,-0.098,2.780,101.224,35.000,13.618
'[15:28:45.224]',-,-0.050,0.870,0.830,-0.098,2.759,100.521,34.682,13.813
'[15:28:45.232]',-,-0.035,0.860,0.825,-0.097,2.737,99.700,34.364,13.930
'[15:28:45.240]',-,-0.045,0.865,0.825,-0.096,2.715,98.821,34.114,14.126
'[15:28:45.248]',-,-0.030,0.855,0.825,-0.095,2.691,98.001,34.069,14.184
'[15:28:45.256]',-,-0.041,0.850,0.830,-0.095,2.666,97.297,33.819,14.184
'[15:28:45.264]',-,-0.025,0.865,0.825,-0.093,2.638,96.594,33.251,13.872
'[15:28:45.272]',-,-0.030,0.850,0.840,-0.092,2.609,95.832,32.365,13.618
'[15:28:45.280]',-,-0.010,0.835,0.850,-0.091,2.577,95.187,31.548,13.686
'[15:28:45.288]',-,-0.015,0.825,0.880,-0.090,2.542,94.425,30.866,14.184
'[15:28:45.296]',-,0.010,0.810,0.900,-0.088,2.501,93.663,30.253,14.809
'[15:28:45.304]',-,0.015,0.795,0.930,-0.086,2.461,92.960,29.685,15.435
'[15:28:45.312]',-,0.010,0.795,0.930,-0.084,2.420,92.315,29.117,15.933
'[15:28:45.320]',-,0.015,0.800,0.935,-0.082,2.372,91.612,28.618,16.187
'[15:28:45.328]',-,-0.005,0.820,0.855,-0.081,2.318,90.967,28.300,16.118
'[15:28:45.336]',-,-0.000,0.835,0.805,-0.079,2.255,90.381,28.254,15.806
'[15:28:45.344]',-,-0.015,0.845,0.790,-0.077,2.185,89.736,28.368,15.376
'[15:28:45.352]',-,-0.000,0.830,0.795,-0.076,2.106,89.092,28.436,14.555
'[15:28:45.360]',-,-0.021,0.845,0.795,-0.074,2.021,88.564,28.368,13.618
'[15:28:45.368]',-,-0.000,0.825,0.810,-0.073,1.931,87.919,28.300,12.875
'[15:28:45.376]',-,-0.030,0.860,0.820,-0.071,1.839,87.333,28.254,12.563
'[15:28:45.384]',-,-0.035,0.865,0.815,-0.071,1.749,86.864,28.186,12.563
'[15:28:45.392]',-,-0.050,0.875,0.825,-0.070,1.665,86.337,28.050,12.748
'[15:28:45.400]',-,-0.035,0.860,0.815,-0.069,1.590,85.868,27.800,13.061
'[15:28:45.408]',-,-0.061,0.865,0.870,-0.068,1.536,85.340,27.505,13.500
'[15:28:45.416]',-,-0.021,0.755,1.010,-0.068,1.497,84.871,27.369,13.999
'[15:28:45.424]',-,0.170,0.575,1.090,-0.067,1.465,84.403,27.369,14.438
'[15:28:45.432]',-,0.525,0.375,0.720,-0.067,1.444,83.934,27.369,14.751
'[15:28:45.440]',-,0.625,0.340,0.255,-0.067,1.431,83.523,27.187,14.868
'[15:28:45.448]',-,0.315,0.710,0.160,-0.067,1.423,83.113,26.869,14.868
'[15:28:45.456]',-,0.095,0.885,0.145,-0.067,1.418,82.761,26.687,15.063
'[15:28:45.464]',-,-0.005,0.920,0.380,-0.067,1.413,82.292,26.619,15.435
'[15:28:45.472]',-,-0.025,0.880,0.655,-0.067,1.405,81.941,26.619,15.874
'[15:28:45.480]',-,-0.045,0.885,0.785,-0.067,1.396,81.530,26.437,16.314
'[15:28:45.488]',-,-0.075,0.880,0.855,-0.066,1.385,81.237,26.051,16.744
'[15:28:45.496]',-,-0.070,0.895,0.870,-0.065,1.375,80.886,25.506,17.125
'[15:28:45.504]',-,-0.086,0.880,0.895,-0.064,1.368,80.534,24.938,17.369
'[15:28:45.512]',-,-0.090,0.895,0.890,-0.063,1.362,80.241,24.439,17.496
'[15:28:45.520]',-,-0.070,0.885,0.900,-0.062,1.355,80.007,24.257,17.496
'[15:28:45.528]',-,-0.081,0.895,0.895,-0.062,1.347,79.714,24.257,17.252
'[15:28:45.536]',-,-0.065,0.875,0.910,-0.061,1.339,79.479,24.620,17.056
'[15:28:45.544]',-,-0.075,0.885,0.895,-0.060,1.331,79.186,25.256,17.125
'[15:28:45.552]',-,-0.055,0.870,0.910,-0.059,1.322,78.834,25.801,17.310
