'Time','I','II','AVR','V','RESP','PLETH','ABP','CVP'
'hh:mm:ss.mmm','mV','mV','mV','mV','pm','NU','mmHg','mmHg'
'[15:03:59.168]',-,0.575,0.555,0.420,0.819,1.942,60.313,-2.999
'[15:03:59.176]',-,0.580,0.550,0.410,0.830,1.919,59.785,-2.999
'[15:03:59.184]',-,0.590,0.540,0.400,0.841,1.885,59.316,-2.999
'[15:03:59.192]',-,0.605,0.530,0.390,0.851,1.862,58.906,-2.999
'[15:03:59.200]',-,0.620,0.515,0.370,0.862,1.845,58.671,-2.999
'[15:03:59.208]',-,0.640,0.500,0.355,0.871,1.829,58.730,-2.999
'[15:03:59.216]',-,0.650,0.485,0.340,0.881,1.814,59.199,-2.999
'[15:03:59.224]',-,0.670,0.465,0.320,0.891,1.801,59.785,-2.999
'[15:03:59.232]',-,0.695,0.445,0.300,0.901,1.785,60.782,-2.999
'[15:03:59.240]',-,0.730,0.420,0.275,0.912,1.769,62.599,-2.999
'[15:03:59.248]',-,0.755,0.395,0.245,0.923,1.752,66.233,-2.999
'[15:03:59.256]',-,0.790,0.375,0.215,0.934,1.731,72.035,-2.999
'[15:03:59.264]',-,0.805,0.360,0.195,0.945,1.711,79.186,-2.999
'[15:03:59.272]',-,0.815,0.355,0.190,0.956,1.691,85.985,-2.999
'[15:03:59.280]',-,0.800,0.355,0.190,0.967,1.671,91.495,-2.999
'[15:03:59.288]',-,0.770,0.375,0.220,0.976,1.651,95.773,-2.999
'[15:03:59.296]',-,0.720,0.420,0.265,0.986,1.630,99.818,-2.999
'[15:03:59.304]',-,0.660,0.465,0.315,0.993,1.604,103.862,-2.999
'[15:03:59.312]',-,0.610,0.505,0.370,1.000,1.576,107.262,-2.999
'[15:03:59.320]',-,0.570,0.545,0.410,1.000,1.548,109.372,-2.999
'[15:03:59.328]',-,0.535,0.575,0.440,1.000,1.525,110.016,-2.999
'[15:03:59.336]',-,0.505,0.600,0.460,1.000,1.509,109.665,-2.999
'[15:03:59.344]',-,0.475,0.620,0.470,1.000,1.499,108.903,-2.999
'[15:03:59.352]',-,0.455,0.635,0.480,1.000,1.487,108.317,-2.999
'[15:03:59.360]',-,0.445,0.645,0.490,1.000,1.475,107.965,-2.999
'[15:03:59.368]',-,0.435,0.650,0.495,1.000,1.464,108.024,-2.999
'[15:03:59.376]',-,0.430,0.655,0.495,1.000,1.457,108.375,-2.999
'[15:03:59.384]',-,0.430,0.655,0.495,1.000,1.449,108.610,-2.999
'[15:03:59.392]',-,0.430,0.655,0.495,1.000,1.438,108.785,-2.999
'[15:03:59.400]',-,0.435,0.655,0.490,1.000,1.428,108.844,-2.999
'[15:03:59.408]',-,0.440,0.655,0.490,1.000,1.419,108.844,-2.999
'[15:03:59.416]',-,0.440,0.655,0.490,1.000,1.412,108.785,-2.999
'[15:03:59.424]',-,0.445,0.650,0.485,1.000,1.405,108.551,-2.999
'[15:03:59.432]',-,0.445,0.645,0.480,1.000,1.396,108.141,-2.999
'[15:03:59.440]',-,0.445,0.645,0.480,1.000,1.389,107.437,-2.999
'[15:03:59.448]',-,0.450,0.640,0.480,1.000,1.382,106.382,-2.999
'[15:03:59.456]',-,0.450,0.640,0.475,1.000,1.371,104.917,-2.999
'[15:03:59.464]',-,0.450,0.640,0.475,1.000,1.360,102.983,-2.999
'[15:03:59.472]',-,0.450,0.635,0.470,1.000,1.345,100.404,-2.999
'[15:03:59.480]',-,0.450,0.635,0.470,1.000,1.328,97.122,-2.999
'[15:03:59.488]',-,0.450,0.640,0.470,1.000,1.312,93.429,-2.999
'[15:03:59.496]',-,0.450,0.640,0.465,1.000,1.298,90.029,-2.999
'[15:03:59.504]',-,0.445,0.640,0.465,1.000,1.287,87.802,-2.999
'[15:03:59.512]',-,0.445,0.640,0.465,1.000,1.280,86.864,-2.999
'[15:03:59.520]',-,0.440,0.640,0.460,1.000,1.272,86.923,-2.999
'[15:03:59.528]',-,0.435,0.640,0.460,1.000,1.270,87.040,-2.999
